N	2gram	Ircho_Kome_3	Problemy
1	и в	22	34
2	и не	21	29
3	как бы	3	27
4	что он	8	23
5	в его	8	22
6	к другому	1	20
7	в нем	3	19
8	может быть	6	19
9	не может	3	19
10	и все	2	19
11	как и	3	18
12	к себе	5	17
13	в этом	8	16
14	но в	5	16
15	и его	6	16
16	все это	5	16
17	он не	5	15
18	и с	4	15
19	что я	1	15
20	прежде всего	5	15
21	то же	7	14
22	к нему	5	14
23	самом деле	6	13
24	человека из	1	13
25	и к	3	12
26	в то	6	12
27	же время	5	12
28	потому что	10	12
29	но и	4	12
30	т е	16	12
31	в сущности	2	11
32	вовсе не	4	11
33	себя самого	1	11
34	то что	4	11
35	не только	5	10
36	не в	4	9
37	в отношении	4	9
38	а не	4	9
39	и т	4	8
40	с самого	4	8
41	самого начала	4	8
42	никогда не	3	8
43	с ним	5	8
44	в другом	2	8
45	в самом	9	8
46	себя и	2	8
47	так же	4	8
48	и для	4	8
49	точки зрения	4	8
50	я не	1	7
51	на него	4	7
52	как мы	2	7
53	и даже	3	7
54	что не	3	7
55	с которым	1	7
56	все же	4	7
57	отношении к	1	7
58	что в	5	7
59	и на	2	6
60	с его	3	6
61	отношение к	5	6
62	что они	2	6
63	в пределах	2	6
64	что у	1	6
65	у меня	1	6
66	так и	4	6
67	в себе	4	6
68	только в	1	6
69	т п	4	6
70	не знает	3	6
71	которым он	2	6
72	отношению к	3	6
73	на них	3	5
74	он сам	1	5
75	в чем	1	5
76	по отношению	5	5
77	и наконец	1	5
78	и у	1	5
79	в целом	3	5
80	но все	4	5
81	с тем	4	5
82	в слове	1	5
83	он и	2	5
84	не мог	2	5
85	я ведь	2	5
86	в конце	7	5
87	таким образом	12	5
88	к тому	6	5
89	себе самом	1	5
90	и сам	5	5
91	я теперь	1	5
92	это я	1	5
93	и что	6	5
94	что и	8	5
95	это не	2	5
96	все время	2	5
97	так что	6	5
98	из них	5	5
99	всяком случае	3	5
100	в одном	2	5
101	себе и	1	5
102	когда я	1	5
103	к своему	2	5
104	и от	1	5
105	ни одного	1	5
106	хотя бы	4	5
107	а в	7	5
108	что ты	2	5
109	во всяком	3	5
110	из его	2	4
111	еще не	6	4
112	бы то	2	4
113	но не	1	4
114	но как	1	4
115	как в	2	4
116	все эти	1	4
117	на его	2	4
118	при этом	7	4
119	на этом	1	4
120	он старается	1	4
121	то ни	3	4
122	что все	1	4
123	в мире	2	4
124	его в	8	4
125	с другими	2	4
126	ни в	10	4
127	все равно	3	4
128	с точки	3	4
129	его отношение	1	4
130	друг другу	1	4
131	он с	1	4
132	ничего не	3	4
133	он хочет	1	4
134	как раз	6	4
135	и это	2	4
136	если бы	8	4
137	на вопрос	2	4
138	диалога с	1	4
139	только на	1	4
140	в начале	3	4
141	так как	11	4
142	не о	3	4
143	у него	4	4
144	с другой	4	4
145	тем что	5	4
146	вместе с	9	4
147	мы остановимся	1	4
148	да и	1	4
149	как к	1	4
150	бы он	3	4
151	из своего	3	4
152	ни было	2	4
153	бы его	1	4
154	уверен что	1	3
155	говорить о	3	3
156	в виду	2	3
157	в ней	4	3
158	что его	5	3
159	нет и	4	3
160	в одной	1	3
161	хотя и	5	3
162	и как	1	3
163	уже в	2	3
164	как он	3	3
165	к одному	1	3
166	не как	2	3
167	их в	3	3
168	в каждом	1	3
169	это было	1	3
170	его и	1	3
171	а что	1	3
172	далеко не	3	3
173	этого не	1	3
174	такой же	1	3
175	в своей	5	3
176	в котором	2	3
177	не менее	5	3
178	но он	1	3
179	по крайней	1	3
180	как можно	1	3
181	что с	2	3
182	том что	13	3
183	во всем	1	3
184	перед его	1	3
185	слова с	1	3
186	в ее	3	3
187	для этого	1	3
188	сводится к	1	3
189	в глаза	3	3
190	и во	2	3
191	между тем	2	3
192	крайней мере	1	3
193	к концу	2	3
194	не бывать	1	3
195	но так	1	3
196	в том	12	3
197	человека с	1	3
198	нуждается в	2	3
199	к самому	1	3
200	а с	1	3
201	он только	1	3
202	до конца	4	3
203	под влиянием	2	3
204	эти слова	1	3
205	он уже	1	3
206	по своему	3	3
207	вот я	1	3
208	сам не	1	3
209	в реальном	1	3
210	если не	3	3
211	это как	1	3
212	бы в	4	3
213	конце концов	2	3
214	только что	7	3
215	другой стороны	2	3
216	жизни и	1	3
217	я и	1	2
218	например в	1	2
219	здесь и	2	2
220	не хочет	5	2
221	той же	1	2
222	а как	2	2
223	он знает	4	2
224	же ты	1	2
225	еще до	1	2
226	на тему	1	2
227	того же	6	2
228	и он	2	2
229	меня в	1	2
230	в которых	5	2
231	столь же	3	2
232	во всех	2	2
233	бы не	2	2
234	в сторону	1	2
235	эпизод с	1	2
236	отличие от	2	2
237	за пределы	2	2
238	в произведениях	2	2
239	с этим	3	2
240	в своем	8	2
241	когда он	4	2
242	не удалось	1	2
243	не кажется	1	2
244	в этот	1	2
245	да еще	1	2
246	в которой	3	2
247	в большинстве	1	2
248	раз в	2	2
249	тому же	6	2
250	т д	1	2
251	он должен	1	2
252	и если	2	2
253	друг с	1	2
254	подобно тому	1	2
255	же не	1	2
256	те же	1	2
257	было в	1	2
258	было бы	3	2
259	уж не	1	2
260	мог бы	1	2
261	по всему	3	2
262	в них	3	2
263	если я	1	2
264	после стольких	1	2
265	был бы	2	2
266	я этого	1	2
267	его воли	1	2
268	в отличие	1	2
269	признать что	1	2
270	которые в	1	2
271	тем не	3	2
272	войти в	1	2
273	однако в	4	2
274	тому что	2	2
275	ипполита и	4	2
276	во время	6	2
277	о них	1	2
278	и без	2	2
279	и лишь	1	2
280	другой как	1	2
281	этом случае	2	2
282	к ней	8	2
283	как на	1	2
284	и мысли	3	2
285	же он	1	2
286	обращает на	1	2
287	ли это	1	2
288	с другом	1	2
289	и со	2	2
290	не является	4	2
291	нет ни	2	2
292	отнюдь не	4	2
293	отказаться от	2	2
294	обращаясь к	1	2
295	конечно в	1	2
296	особенно в	1	2
297	жизнь и	1	2
298	именно потому	2	2
299	о том	8	2
300	в раннем	1	2
301	надо было	1	2
302	все его	1	2
303	на одном	1	2
304	и только	1	2
305	один из	3	2
306	отца не	3	2
307	тот же	2	2
308	то в	1	2
309	и ее	2	2
310	при всей	2	2
311	со всеми	1	2
312	в эти	1	2
313	конечно не	3	2
314	не входит	1	2
315	в душе	1	2
316	за ним	2	2
317	кто живет	1	2
318	мы знаем	2	2
319	ты меня	1	2
320	друг друга	4	2
321	как его	1	2
322	нет в	1	2
323	выходит за	1	2
324	о своей	1	2
325	было и	1	2
326	говорит о	1	2
327	не было	2	2
328	а так	1	2
329	о чем	7	2
330	и ему	1	2
331	человек в	1	2
332	и потому	1	2
333	отрывок из	2	2
334	но этот	1	2
335	себя за	1	2
336	это в	2	2
337	правда он	2	2
338	тому как	1	2
339	остается в	2	2
340	с этой	3	2
341	нисколько не	3	2
342	т а	1	2
343	вопрос о	1	2
344	в другой	1	2
345	человек и	1	2
346	а к	1	2
347	обращается к	3	2
348	не с	2	2
349	с уже	2	2
350	ибо в	1	2
351	теперь же	3	2
352	сказать что	1	2
353	я уверен	1	2
354	одним из	2	1
355	он нисколько	1	1
356	чтобы не	1	1
357	человека и	2	1
358	начинается с	1	1
359	без них	1	1
360	и пришел	1	1
361	идет о	3	1
362	и меня	1	1
363	ясно что	6	1
364	в первом	1	1
365	о тебе	1	1
366	в доме	10	1
367	отношения к	2	1
