N	2gram	Savitsky_P_1	EvropaiE
1	и в	14	37
2	в отношении	10	32
3	в пределах	8	25
4	точки зрения	3	23
5	европы и	1	22
6	что в	4	21
7	не только	17	18
8	с точки	3	17
9	в то	7	16
10	то же	9	15
11	хотя бы	8	15
12	отношении к	5	15
13	в своем	4	14
14	но в	9	14
15	старого света	9	14
16	же время	7	14
17	в качестве	9	14
18	но и	6	14
19	и не	12	14
20	в этом	10	12
21	в области	11	11
22	в том	9	11
23	н с	2	11
24	россия в	3	11
25	с и	1	10
26	отнюдь не	2	9
27	в себе	3	9
28	только в	7	9
29	прежде всего	3	9
30	не может	4	9
31	так же	1	9
32	т е	3	9
33	в смысле	6	9
34	в ее	2	8
35	думать что	2	8
36	и азии	1	8
37	было бы	6	8
38	между тем	3	8
39	с одной	3	8
40	одной стороны	3	8
41	также и	1	7
42	а также	4	7
43	того что	2	7
44	с другой	5	7
45	как и	1	7
46	между прочим	2	7
47	может быть	5	6
48	и на	1	6
49	во всех	2	6
50	стороны и	2	6
51	на то	1	6
52	том что	4	6
53	того чтобы	1	6
54	вслед за	3	6
55	для того	3	6
56	в последние	2	6
57	как бы	4	6
58	то что	4	6
59	же как	1	5
60	которую мы	2	5
61	столь же	3	5
62	но не	3	5
63	не в	5	5
64	в россии	3	5
65	и по	1	5
66	тем самым	3	5
67	в виде	2	5
68	древнего востока	1	5
69	со стороны	2	5
70	в частности	2	5
71	и потому	4	5
72	мы не	3	4
73	вопрос о	1	4
74	в полной	2	4
75	в некотором	1	4
76	к востоку	1	4
77	в ней	6	4
78	на путях	4	4
79	россии в	5	4
80	в самом	1	4
81	во многих	1	4
82	весьма вероятно	2	4
83	в предыдущем	1	4
84	из числа	1	4
85	не имеет	1	4
86	и притом	1	4
87	сельского хозяйства	1	4
88	иными словами	1	4
89	к россии	1	4
90	в перспективе	2	4
91	по себе	4	4
92	тем более	2	4
93	именно в	2	4
94	само по	1	4
95	или иной	1	4
96	хозяйственной жизни	1	4
97	для нас	2	4
98	культуры в	2	4
99	в каком	1	4
100	в применении	1	3
101	в сфере	2	3
102	из всех	1	3
103	бы и	1	3
104	на себя	1	3
105	время в	2	3
106	россии и	4	3
