N	2gram	Losev_Dial_4	KFilosof
1	может быть	17	43
2	в его	4	39
3	в нем	5	31
4	не может	11	27
5	и не	30	26
6	и в	15	22
7	в себе	8	21
8	в котором	2	21
9	для меня	2	20
10	не есть	40	19
11	и его	7	17
12	в ее	2	17
13	а не	18	17
14	только в	7	16
15	в этом	11	13
16	точки зрения	14	13
17	и это	8	12
18	ни в	8	12
19	все эти	3	11
20	в своей	3	11
21	не в	8	11
22	к нему	1	11
23	во всех	2	10
24	в едином	1	10
25	в своем	5	10
26	это не	12	10
27	с точки	9	10
28	от себя	2	10
29	все это	9	10
30	из себя	1	10
31	и есть	19	9
32	в их	3	9
33	для нее	2	9
34	бытия и	4	9
35	но и	4	9
36	как бы	14	9
37	и для	5	9
38	и все	11	9
39	лишь в	2	8
40	было бы	9	8
41	если бы	6	8
42	со стороны	3	8
43	не было	2	8
44	жизни и	4	8
45	то что	16	7
46	во всем	2	7
47	в себя	5	7
48	и здесь	1	7
49	что и	6	7
50	себя в	2	7
51	конечно не	2	7
52	вовсе не	6	7
53	быть только	1	7
54	я не	5	6
55	отношение к	1	6
56	отнюдь не	4	6
57	и я	1	6
58	мира в	1	6
59	он не	1	6
60	не значит	2	6
61	смысл и	3	6
62	этот момент	3	6
63	и только	2	6
64	совершенно не	3	6
65	уже не	9	6
66	и их	2	6
67	но это	4	6
68	в смысле	5	6
69	в том	11	6
70	мы имеем	5	5
71	но как	2	5
72	все же	2	5
73	но в	3	5
74	не только	8	5
75	но ведь	1	5
76	то же	9	5
77	но все	2	5
78	его в	1	5
79	как и	7	5
80	должно быть	2	5
81	что я	5	5
82	не имеет	14	5
83	никогда не	2	5
84	бытия как	1	5
85	с ним	3	5
86	именно в	5	5
87	его как	2	5
88	в контексте	1	5
89	ее и	1	5
90	в основе	10	5
91	хотя бы	4	5
92	жизни в	1	5
93	не знает	1	5
94	я могу	2	5
95	как его	1	4
96	быть в	5	4
97	в чем	8	4
98	при этом	2	4
99	время и	2	4
100	не как	4	4
101	нем как	1	4
102	входит в	1	4
103	меня но	1	4
104	место в	1	4
105	бытие как	1	4
106	тем самым	3	4
107	не по	2	4
108	чем не	1	4
109	о нем	2	4
110	в каком	5	4
111	с ними	4	4
112	мира и	1	4
113	познания и	2	4
114	во всей	2	4
115	нисколько не	2	4
116	единая и	1	4
117	в одном	4	4
118	вне ее	1	4
119	бытия но	3	4
120	том что	10	4
121	а в	1	4
122	быть все	1	4
123	что в	7	4
124	в своих	1	4
125	на самом	1	3
126	должна быть	7	3
127	и этот	1	3
128	мы не	9	3
129	что это	13	3
130	в ней	5	3
131	может дать	2	3
132	еще не	4	3
133	и на	5	3
134	не могу	1	3
135	себе и	2	3
136	нет и	2	3
137	данный момент	2	3
138	бы и	3	3
139	бы не	2	3
140	всех этих	1	3
141	для того	5	3
142	и совершенно	1	3
143	всех своих	1	3
144	людей и	1	3
145	этом смысле	4	3
146	положения в	1	3
147	бытие в	1	3
148	что этот	2	3
149	не менее	2	3
150	тогда когда	5	3
151	ничего не	17	3
152	ибо все	1	3
153	в некотором	1	3
154	в час	1	3
155	могут быть	3	3
156	этот акт	1	3
157	ясно что	11	3
158	в виду	9	3
159	о том	5	3
160	и весь	1	3
161	не имеем	2	3
162	того или	2	3
163	моменты и	1	3
164	того что	13	3
165	в современной	1	3
166	быть и	3	3
167	и тем	6	3
168	не дает	2	3
169	был бы	2	3
170	тем что	2	3
171	от того	2	3
172	в данный	2	3
173	что не	3	3
174	и пр	9	3
175	до конца	1	3
176	и жизни	2	3
177	ближе к	1	3
178	поскольку он	2	3
179	сознания и	3	3
180	от него	3	3
181	лишь как	4	3
182	и ни	2	3
183	не быть	1	3
184	но можно	1	3
185	в свою	3	3
186	в то	6	3
187	на своем	1	3
188	себя как	3	2
189	чтобы не	1	2
190	все остальное	1	2
191	и то	3	2
192	я и	1	2
193	он может	1	2
194	это и	9	2
195	чего не	3	2
196	едва ли	3	2
197	а как	2	2
198	вопрос о	2	2
199	только это	1	2
200	не нужно	2	2
201	с его	5	2
202	в данном	3	2
203	жить и	1	2
204	или иное	3	2
205	как в	3	2
206	как к	1	2
207	то или	3	2
208	и как	4	2
209	от этого	3	2
210	истины и	1	2
211	та же	3	2
212	этих моментов	1	2
213	думать что	2	2
214	ни одна	2	2
215	в этой	4	2
216	и тот	1	2
217	имеем в	1	2
218	всей его	2	2
219	человек не	1	2
220	как оно	1	2
221	в виде	3	2
222	видит и	1	2
223	так и	5	2
224	то ни	4	2
225	не будет	2	2
226	и может	2	2
227	конечно в	1	2
228	и мы	7	2
229	весь мир	2	2
230	в жизни	5	2
231	бытие и	1	2
232	с тем	4	2
233	и само	2	2
234	но я	1	2
235	что значит	1	2
236	бытии и	3	2
237	эти момента	1	2
238	знает и	1	2
239	можно ли	1	2
240	тем не	2	2
241	по себе	13	2
242	что есть	2	2
243	что эта	2	2
244	и ясно	1	2
245	она могла	1	2
246	дело не	1	2
247	дело в	1	2
248	в процессе	1	2
249	того чтобы	5	2
250	же время	6	2
251	и чувство	1	2
252	в области	3	2
253	к себе	1	2
254	и именно	2	2
255	той или	4	2
256	оно не	2	2
257	ничего общего	4	2
258	можно и	2	2
259	на нем	2	2
260	чтобы быть	1	2
261	говорить о	11	2
262	и когда	2	2
263	и себе	1	2
264	чтобы дать	1	2
265	это только	1	2
266	жизнь и	2	2
267	может не	1	2
268	и та	3	2
269	своей истории	2	2
270	его жизни	1	2
271	основе своей	1	2
272	практический разум	1	2
273	или как	1	2
274	нем не	1	2
275	общего не	2	2
276	и она	1	2
277	в него	1	2
278	мысль и	1	2
279	что только	1	2
280	тот же	1	2
281	что он	7	2
282	именно на	1	2
283	в качестве	2	2
284	мы получим	1	2
285	а это	2	2
286	не из	1	2
287	и других	1	2
288	его и	1	2
289	процесс и	1	2
290	не о	4	2
291	это значило	1	2
292	были бы	1	2
293	себе а	1	2
294	или иной	1	2
295	будет ли	3	2
296	для этого	2	2
297	было и	1	2
298	себя и	3	2
299	но есть	1	2
300	предмет и	1	2
301	прежде всего	11	2
302	только по	1	2
303	смысла и	3	2
304	своем месте	1	2
305	я уже	3	2
306	и потому	3	2
307	долженствование и	1	2
308	пространства и	1	2
309	знать что	1	2
310	это есть	13	2
311	быть не	2	2
312	в это	1	2
313	при условии	2	2
314	но для	2	2
315	это уже	1	2
316	единой и	1	2
317	это можно	1	2
318	человек и	1	2
319	и факт	1	2
320	значило бы	1	2
321	он имеет	1	2
322	потому что	10	2
323	отношении к	2	2
324	всякий предмет	1	2
325	к этому	3	2
326	не зависит	1	1
327	смысле слова	1	1
328	выражено в	1	1
329	говоря о	1	1
330	также и	4	1
331	о каких	1	1
332	и волевой	1	1
333	человека и	2	1
334	и через	1	1
335	я утверждаю	4	1
336	утверждение что	1	1
337	и c	1	1
338	имеем и	1	1
339	исходит из	1	1
340	ведь и	2	1
341	видеть в	1	1
342	действительности и	1	1
343	его что	1	1
344	это нисколько	1	1
345	в зависимости	1	1
346	отношения к	3	1
347	и индивидуального	1	1
348	мы уже	3	1
349	той же	5	1
350	его не	1	1
351	их и	1	1
352	которую я	1	1
353	это что	1	1
354	бы что	1	1
355	что уже	2	1
356	науки и	2	1
357	каждый отдельный	1	1
358	он как	1	1
359	оба эти	1	1
360	совпадает с	2	1
361	бы ни	2	1
362	и ее	8	1
363	конечно и	1	1
364	и он	1	1
365	и говорить	1	1
366	и иначе	1	1
367	событие как	1	1
368	утвердить его	1	1
369	как таковая	2	1
370	в нашем	1	1
371	мы будем	2	1
372	и всякий	1	1
373	века или	1	1
374	ее самой	1	1
375	вообще как	2	1
376	и будет	2	1
377	не просто	7	1
378	рождение и	1	1
379	есть просто	6	1
380	самым уже	1	1
381	никого и	1	1
382	в истории	3	1
383	его я	1	1
384	и противопоставления	1	1
385	субъекта и	5	1
386	с этим	3	1
387	помнить что	1	1
388	виду и	1	1
389	и жить	1	1
