N	2gram	Berdyaev_M_1	Retstnzi
1	не может	28	4
2	и в	28	3
3	в центре	2	2
4	если в	1	2
5	достоевского и	10	2
6	один из	4	2
7	и можно	1	1
8	себя от	1	1
9	можно назвать	1	1
10	в ней	15	1
11	и истории	1	1
12	его от	1	1
13	может быть	30	1
14	и не	11	1
15	в его	9	1
16	тех же	1	1
17	подхода к	1	1
18	первых своих	1	1
19	он в	2	1
20	не только	29	1
21	науку о	1	1
22	в каждом	1	1
23	не менее	1	1
24	для него	11	1
25	если бы	2	1
26	лучше всего	1	1
27	нет и	5	1
28	можно и	1	1
29	к тому	3	1
30	смысл и	1	1
31	и все	10	1
32	ничего кроме	1	1
33	в то	2	1
34	бы в	2	1
35	русской литературы	5	1
36	приведут к	1	1
37	но и	25	1
38	точки зрения	4	1
39	влияния на	1	1
40	в иную	1	1
41	и на	6	1
42	может не	2	1
43	мы видим	2	1
44	по своим	1	1
45	а не	25	1
