N	2gram	Berdyaev_O_1	Tvorches
1	у достоевского	19	30
2	и в	19	20
3	в романах	4	13
4	романах достоевского	3	13
5	не только	11	13
6	никогда не	9	11
7	преступлении и	3	11
8	как бы	3	11
9	в преступлении	4	10
10	в его	7	10
11	и наказании	3	10
12	достоевского в	3	9
13	и его	4	9
14	и не	13	9
15	ивана карамазова	7	8
16	достоевского не	4	8
17	и с	2	8
18	в том	5	8
19	может быть	11	8
20	в этом	12	8
21	прежде всего	9	8
22	но и	13	8
23	это не	3	7
24	иван карамазов	2	7
25	потому что	9	7
26	достоевский в	1	7
27	не может	4	7
28	братьях карамазовых	1	7
29	что в	4	7
30	из подполья	11	6
31	в братьях	1	6
32	как и	6	6
33	в своей	2	6
34	князь мышкин	1	6
35	что он	3	6
36	так и	2	6
37	в конце	1	6
38	у него	22	6
39	а не	11	6
40	в бесах	3	6
41	все это	6	6
42	например в	1	5
43	еще не	3	5
44	и на	2	5
45	но не	1	5
46	все же	2	5
47	героев достоевского	2	5
48	в этой	5	5
49	и сам	1	5
50	в мире	1	5
51	достоевский не	4	5
52	о том	3	5
53	и даже	1	5
54	достоевского с	2	5
55	в творчестве	5	5
56	но это	1	5
57	романов достоевского	2	5
58	мы не	1	4
59	все эти	4	4
60	и достоевский	1	4
61	что они	2	4
62	как в	1	4
63	хотя и	2	4
64	когда он	3	4
65	но в	2	4
66	за собой	1	4
67	не в	11	4
68	творчество достоевского	2	4
69	что она	1	4
70	что у	2	4
71	если бы	1	4
72	ничего не	2	4
73	легенда о	2	4
74	братьев карамазовых	1	4
75	герои достоевского	4	4
76	в душе	2	4
77	а в	5	4
78	и потому	2	4
79	и от	3	4
80	том что	2	4
81	но у	1	4
82	великом инквизиторе	6	3
83	человека и	10	3
84	и через	1	3
85	на западе	2	3
86	что достоевский	2	3
87	он сам	4	3
88	а с	1	3
89	в одной	1	3
90	в себе	3	3
91	в нем	10	3
92	он не	7	3
93	в записках	3	3
94	человека в	11	3
95	я бы	1	3
96	его в	2	3
97	достоевского но	2	3
98	в самом	5	3
99	в котором	1	3
100	в дневнике	2	3
101	человеческое сердце	1	3
102	тем что	2	3
103	одна из	1	3
104	и это	1	3
105	быть может	3	3
106	с ним	3	3
107	любви к	1	3
108	достоевского можно	1	3
109	уже не	1	3
110	записках из	3	3
