N	3gram	Vinokur_St_3	DiskursI
1	в том что	11	13
2	с одной стороны	2	9
3	о том что	4	5
4	то же время	3	4
5	а с другой	2	3
6	не в том	3	3
7	той или иной	1	3
8	не может быть	5	3
9	в свою очередь	1	3
10	с другой стороны	4	3
11	в то же	3	3
12	что же касается	1	2
13	а не в	1	2
14	не говоря уже	1	2
15	то же самое	1	2
16	в одной из	1	2
17	тот или иной	1	2
18	говоря уже о	1	2
19	значении этого термина	1	2
20	в наше время	1	2
21	по крайней мере	4	2
22	на мой взгляд	1	2
23	в том чтобы	2	2
24	не только в	3	2
25	состоит в том	3	2
26	более или менее	1	2
27	можно сказать что	1	2
28	и может быть	1	1
29	однако и оно	1	1
30	прежде всего в	3	1
31	на самом деле	1	1
32	в этом смысле	4	1
33	он не может	1	1
34	с точки зрения	4	1
35	тому как мы	1	1
36	не было и	1	1
37	и времени в	1	1
38	на почве которого	1	1
39	до сих пор	2	1
40	говорит о том	1	1
41	сам по себе	1	1
42	но одновременно и	1	1
43	что в них	1	1
44	том что не	1	1
45	а иногда и	1	1
46	вместе с тем	1	1
47	как мы видели	1	1
48	не заметить что	1	1
49	и мн др	1	1
50	в этих жанрах	1	1
51	тем что он	2	1
52	в известном смысле	1	1
53	почти одновременно с	1	1
54	во всех этих	2	1
55	потому что в	1	1
56	как и вообще	1	1
57	в связи с	3	1
58	в этом направлении	1	1
59	том что он	1	1
60	тем или иным	1	1
61	во всяком случае	4	1
62	хотя бы на	1	1
63	в свое время	1	1
64	до наших дней	1	1
65	под углом зрения	1	1
66	в этом отношении	4	1
67	это было отмечено	1	1
68	в этом же	1	1
69	одной стороны он	1	1
70	он говорит и	1	1
71	в этом жанре	1	1
72	не встречается в	1	1
73	к этому времени	1	1
74	с самого начала	2	1
75	заключается в том	2	1
76	речь идет о	1	1
77	к м годам	1	1
78	в известной степени	1	1
79	на то что	3	1
80	в данном отношении	1	1
81	о чем говорят	1	1
82	в другом случае	1	1
83	на этом пути	1	1
84	тем не менее	2	1
85	к такому состоянию	1	1
86	но все же	2	1
87	дело не в	1	1
88	по мере его	1	1
89	и в другом	1	1
