1	в то же	3	5
2	то же время	2	5
3	бросается в глаза	2	2
4	в году в	3	2
5	и в дальнейшем	1	2
6	в отличие от	3	2
7	в том что	10	2
8	точно так же	4	2
9	в данном случае	2	2
10	о том что	8	2
11	потому что сам	1	1
12	то что он	1	1
13	как и его	1	1
14	мы бы сказали	3	1
15	к тому что	2	1
16	с самого начала	1	1
17	хотя бы и	3	1
18	но в конце	1	1
19	и то что	4	1
20	в этом случае	1	1
21	в связи с	2	1
22	том что он	1	1
23	и в этом	5	1
24	еще в году	2	1
25	отнюдь не является	1	1
26	сам по себе	2	1
27	на русский язык	1	1
28	во всяком случае	3	1
29	я увидел что	1	1
30	необходимо отметить что	1	1
31	уже в году	1	1
32	не может быть	6	1
33	несмотря на все	1	1
34	и в сфере	1	1
35	и должно быть	1	1
36	никогда не был	4	1
37	тем не менее	9	1
38	или как говорит	1	1
39	в самом деле	1	1
40	у него нет	1	1
41	человека вот что	1	1
42	в таком виде	1	1
43	самое большее что	1	1
44	и вместе с	2	1
45	в конце концов	5	1
46	это и есть	1	1
47	не только не	1	1
48	все же не	1	1
49	в году еще	1	1
50	и то в	1	1
