N	2gram	Voloshinov_1	Psycholo
1	и в	3	31
2	может быть	1	22
3	художественного произведения	1	17
4	не может	4	17
5	и не	1	16
6	точки зрения	1	15
7	не только	1	13
8	а не	1	13
9	искусство как	1	9
10	из этих	1	6
11	если бы	1	6
12	в его	1	6
13	то же	1	5
14	несмотря на	1	5
15	в то	1	5
16	мы видим	1	5
17	и все	1	5
18	тому что	1	4
19	к тому	1	4
20	один из	2	4
21	нуждаются в	1	3
22	в каждом	1	3
23	на примере	1	3
24	исходя из	1	3
25	произведения но	1	2
26	тех же	1	2
27	с точки	1	2
28	не менее	1	2
29	с теми	1	2
30	но и	1	2
31	речь и	1	2
32	бы в	1	2
33	категорий и	1	1
34	системы исследования	1	1
35	и больше	1	1
36	при анализе	1	1
37	в ней	1	1
38	и на	1	1
39	из крупнейших	1	1
40	нет и	1	1
41	и социальной	1	1
42	этих методов	1	1
43	бы чисто	1	1
44	и тому	1	1
45	лучше всего	1	1
46	для него	1	1
47	как искусство	1	1
48	на месте	1	1
49	теми или	1	1
50	своих теоретических	1	1
51	связи с	1	1
52	анализа и	1	1
53	и методологически	1	1
54	можно и	1	1
55	на нее	1	1
56	может не	1	1
57	или иными	1	1
58	если в	2	1
59	в особенности	1	1
60	этой проблемы	1	1
61	выводы на	1	1
62	в центре	2	1
63	в системе	1	1
