N	3gram	Ircho_Kome_2	Hudozhes
1	в том что	5	11
2	по отношению к	3	7
3	о том что	4	7
4	так и не	1	4
5	то же время	3	4
6	в то же	3	4
7	к тому что	2	4
8	в самом деле	1	3
9	не может быть	1	3
10	ни о чем	1	3
11	с одной стороны	2	3
12	для того чтобы	4	3
13	тем не менее	1	3
14	в соответствии с	1	3
15	что у нее	1	2
16	с точки зрения	1	2
17	только в том	1	2
18	до сих пор	2	2
19	и в то	1	2
20	и т п	2	2
21	можно было бы	2	2
22	только тем что	1	2
23	в этой связи	1	2
24	не более чем	2	2
25	как будто бы	1	2
26	того или иного	1	2
27	они и в	1	2
28	не только в	1	2
29	к тому же	10	2
30	не в состоянии	1	1
31	одних и тех	2	1
32	все время пока	1	1
33	сводится к тому	1	1
34	той или иной	1	1
35	не принимает участия	1	1
36	один ряд с	1	1
37	как например в	1	1
38	что он не	1	1
39	о том чтобы	1	1
40	в том случае	1	1
41	бы то ни	2	1
42	угол зрения на	1	1
43	том числе и	1	1
44	и тех же	2	1
45	точно так же	1	1
46	как будто он	1	1
47	отношения между ними	1	1
48	тому же в	3	1
49	в отношениях с	1	1
50	сообщения о том	1	1
51	том случае если	1	1
52	в это время	2	1
53	едва ли не	5	1
54	в самом начале	2	1
55	нечто такое что	1	1
56	у него в	1	1
57	это не означает	1	1
58	утра до вечера	1	1
59	в один ряд	1	1
60	то время как	2	1
61	имеем дело с	1	1
62	так или иначе	3	1
63	всю свою жизнь	1	1
64	с другой стороны	1	1
65	и в том	1	1
66	в собственный дом	1	1
67	внешней и внутренней	1	1
68	памятуя о том	1	1
69	она могла бы	1	1
70	во внешнем облике	1	1
71	в то время	3	1
72	в соединении с	1	1
73	в первом случае	1	1
74	женщин и детей	1	1
75	берет на себя	2	1
76	и в самом	1	1
77	с самого начала	1	1
78	но все же	1	1
79	в молодые годы	1	1
80	как мы знаем	1	1
81	друг от друга	1	1
82	после того как	2	1
83	в том числе	3	1
84	в котором по	1	1
85	в ответ на	2	1
86	мы имеем дело	1	1
87	едва ли в	1	1
88	с утра до	1	1
89	что и в	2	1
90	вслед за этим	1	1
91	все эти люди	1	1
92	в пределах одного	1	1
93	в дом и	1	1
