N	4gram	Tiupa_Teor_1	Narrotol
1	в то же время	5	4
2	обращает на себя внимание	1	3
3	мы имеем дело с	1	2
4	одно и то же	1	2
5	дело в том что	1	2
6	в войне и мире	2	2
7	состоит в том что	4	2
8	в соответствии с его	1	1
9	друга местом временем действия	1	1
10	состоит как раз в	1	1
11	деталей в пределах кадрового	1	1
12	даже самая тривиальная в	1	1
13	здоровая порядок фокусирующих восприятие	1	1
14	поименованное в тексте а	1	1
15	последовательно вводятся автором в	1	1
16	лишь поименованное в тексте	1	1
17	текста так и не	1	1
18	тривиальная в общеязыковом отношении	1	1
19	в свою очередь членится	1	1
20	восприятия в каждый малый	1	1
21	на ее полные розовые	1	1
22	что душевная характеристика душечки	1	1
23	мягким взглядом очень здоровая	1	1
24	тихая добродушная жалостливая барышня	1	1
25	а не все что	1	1
26	на мягкую белую шею	1	1
27	ее полные розовые щеки	1	1
28	была тихая добродушная жалостливая	1	1
29	вдруг заслоняется крупным планом	1	1
30	самая тривиальная в общеязыковом	1	1
31	восприятие определений таков что	1	1
32	заслоняется крупным планом заключительного	1	1
33	или движется один отдельный	1	1
34	автором в кадры повествования	1	1
35	во втором эпизоде в	1	1
36	пределах кадрового единства фразы	1	1
37	кадры читательского восприятия в	1	1
38	в том случае если	1	1
39	состав такого кадра входит	1	1
40	бы то ни было	1	1
41	в пределах кадрового единства	1	1
42	не все что может	1	1
43	может или пожелает представить	1	1
44	все что может или	1	1
45	лишь в самом начале	2	1
46	является искусством непрямого говорения	1	1
47	организации кадров внутреннего зрения	1	1
48	фокусирующих восприятие определений таков	1	1
49	в поле зрения читателя	1	1
50	задаваемый читателю ракурс видения	1	1
51	в смерти чиновника или	1	1
52	место лишь в самом	1	1
53	в той или иной	1	1
54	кадры повествования а читателем	1	1
55	щеки на мягкую белую	1	1
56	характеристика душечки постепенно углубляемая	1	1
57	слова в соответствии с	1	1
58	раз в том что	1	1
59	кадра входит лишь поименованное	1	1
60	определений таков что душевная	1	1
61	читателя находится или движется	1	1
62	свою очередь членится на	1	1
63	зрения читателя находится или	1	1
64	добродушная жалостливая барышня с	1	1
65	в кадры читательского восприятия	1	1
66	читаем это была тихая	1	1
67	взглядом очень здоровая порядок	1	1
68	самом начале этой цепочки	1	1
69	от друга местом временем	1	1
70	в кадры повествования а	1	1
71	одного и того же	3	1
72	единства фразы устанавливает задаваемый	1	1
73	белую шею с темной	1	1
74	жалостливая барышня с кротким	1	1
75	вводятся автором в кадры	1	1
76	порядок фокусирующих восприятие определений	1	1
77	времени в поле зрения	1	1
78	местом временем действия и	1	1
79	отрезок времени в поле	1	1
80	как раз в том	1	1
81	войне и мире толстого	1	1
82	еще и потому что	1	1
83	в том числе и	1	1
84	было и не могло	1	1
85	с кротким мягким взглядом	1	1
86	временем действия и составом	1	1
87	кротким мягким взглядом очень	1	1
88	глядя на ее полные	1	1
89	малый отрезок времени в	1	1
90	и в то же	1	1
91	мягкую белую шею с	1	1
92	поле зрения читателя находится	1	1
93	читателю ракурс видения в	1	1
94	устанавливает задаваемый читателю ракурс	1	1
95	входит лишь поименованное в	1	1
96	в организации кадров внутреннего	1	1
97	кадрового единства фразы устанавливает	1	1
98	полные розовые щеки на	1	1
99	читательского восприятия в каждый	1	1
100	насыщенный деталями кадр внутреннего	1	1
101	движется один отдельный кадр	1	1
102	литература является искусством непрямого	1	1
103	деталями кадр внутреннего зрения	1	1
104	каждый малый отрезок времени	1	1
105	бы место лишь в	1	1
106	барышня с кротким мягким	1	1
107	не тот кто говорит	1	1
108	таков что душевная характеристика	1	1
109	очень здоровая порядок фокусирующих	1	1
110	фразы устанавливает задаваемый читателю	1	1
111	в самом начале этой	1	1
112	душевная характеристика душечки постепенно	1	1
113	что может или пожелает	1	1
114	розовые щеки на мягкую	1	1
115	казалось бы место лишь	1	1
116	тексте а не все	1	1
117	не было и не	1	1
118	в каждый малый отрезок	1	1
119	или пожелает представить себе	1	1
120	такого кадра входит лишь	1	1
121	действия и составом участников	1	1
122	а в то же	1	1
123	находится или движется один	1	1
124	в тексте а не	1	1
125	друг от друга местом	1	1
126	у себя в комнате	1	1
127	и не могло быть	2	1
128	это была тихая добродушная	1	1
129	души вдруг заслоняется крупным	1	1
