1	и все же	3	5
2	в то же	13	4
3	то же время	12	4
4	имел в виду	1	3
5	в связи с	1	3
6	в русской литературе	2	3
7	человека в котором	1	2
8	в году и	1	2
9	в году в	2	2
10	в эти годы	1	2
11	в году достоевский	2	2
12	в том что	6	2
13	и что в	1	2
14	но в то	4	2
15	в в виноградов	1	2
16	в этот момент	1	2
17	на первый взгляд	1	1
18	до сих пор	1	1
19	вот в чем	1	1
20	в инженерном училище	1	1
21	у него в	1	1
22	из мертвого дома	1	1
23	отношение автора к	1	1
24	да и в	1	1
25	следует рассматривать в	1	1
26	к творчеству достоевского	1	1
27	вышла в году	1	1
28	но при этом	1	1
29	что он сам	1	1
30	тем не менее	2	1
31	в момент создания	1	1
32	по нашему мнению	5	1
33	в мировой литературе	1	1
34	преступление и наказание	4	1
35	и в то	2	1
36	мертвого дома и	1	1
37	достоевскому он был	1	1
38	подпольного человека с	2	1
39	преступления и наказания	4	1
40	что у него	1	1
41	в канонический текст	1	1
42	ф м достоевский	1	1
43	по сей день	1	1
44	по крайней мере	2	1
45	при этом он	2	1
46	достоевского далеко не	1	1
47	творчества достоевского в	1	1
48	гоголя и достоевского	1	1
49	в соответствии с	3	1
50	равно как и	1	1
51	рассматривать в связи	1	1
52	фурье во многом	1	1
53	точно так же	2	1
54	самим собой в	2	1
55	от апреля года	1	1
56	преступлении и наказании	3	1
57	о забитой лошади	1	1
58	указывает н м	1	1
59	в войне и	1	1
60	в известном смысле	1	1
61	в свою очередь	1	1
62	достоевский не мог	1	1
63	к вопросу о	1	1
64	войне и мире	1	1
65	но это не	1	1
66	в году когда	1	1
67	и в самом	1	1
68	записки из подполья	6	1
69	в глубине души	1	1
70	страшной мести он	1	1
71	с другой стороны	1	1
72	что я только	1	1
73	о том что	5	1
74	в ту эпоху	2	1
75	белых ночей с	1	1
76	м м бахтин	6	1
77	в конце концов	1	1
78	о летних впечатлениях	1	1
79	явился одним из	1	1
80	в преступлении и	4	1
81	литературоведение давно уже	1	1
82	юмор достоевского не	1	1
83	по мнению достоевского	1	1
84	достоевского в году	1	1
85	жития великого грешника	1	1
86	записках из подполья	2	1
87	но в целом	1	1
88	в том же	1	1
89	заключается в том	1	1
