N	4gram	Tiupa_Anal_1	Myshleni
1	с этой точки зрения	1	4
2	в такой же мере	1	3
3	одно и то же	1	3
4	состоит в том что	3	3
5	в той мере в	2	2
6	в том что он	2	2
7	такой же мере как	1	2
8	той мере в какой	2	2
9	в той же мере	1	2
10	одной и той же	1	2
11	свойств присущих целому и	1	2
12	и вместе с тем	1	2
13	методом разложения на элементы	1	2
14	от элементов не утрачивают	1	1
15	только в том что	1	1
16	присущих целому и подлежащих	1	1
17	в сущности анализ в	1	1
18	на единицы понимая под	1	1
19	объяснению но содержат в	1	1
20	виде те свойства целого	1	1
21	подлежащих объяснению но содержат	1	1
22	простом первоначальном виде те	1	1
23	последними такие продукты анализа	1	1
24	но содержат в себе	1	1
25	свойства целого ради которых	1	1
26	и не может быть	4	1
27	на самом же деле	1	1
28	и подлежащих объяснению но	1	1
29	есть не что иное	3	1
30	в том числе и	1	1
31	до тех пор пока	1	1
32	самом простом первоначальном виде	1	1
33	на элементы не есть	1	1
34	в себе в самом	1	1
35	не есть в сущности	1	1
36	ради которых предпринимается анализ	1	1
37	утрачивают свойств присущих целому	1	1
38	не что иное как	4	1
39	такие продукты анализа которые	1	1
40	целого ради которых предпринимается	1	1
41	в самом простом первоначальном	1	1
42	те свойства целого ради	1	1
43	отличие от элементов не	1	1
44	элементы не есть в	1	1
45	том и заключается что	1	1
46	содержат в себе в	1	1
47	то же самое время	2	1
48	есть в сущности анализ	1	1
49	нет и не может	2	1
50	разложения на элементы не	1	1
51	элементов не утрачивают свойств	1	1
52	сущности анализ в собственном	1	1
53	не утрачивают свойств присущих	1	1
54	представляет собой один из	1	1
55	анализ в собственном смысле	1	1
56	в том и заключается	1	1
57	себе в самом простом	1	1
58	в то же самое	2	1
59	в отличие от элементов	1	1
60	целому и подлежащих объяснению	1	1
61	к разрешению конкретных проблем	1	1
62	во всей своей полноте	1	1
63	первоначальном виде те свойства	1	1
