N	3gram	Medvedev_U_1	Tvorches
1	то же время	3	7
2	в то же	3	7
3	по нашему мнению	3	4
4	до сих пор	2	3
5	не может быть	4	3
6	но прежде всего	1	2
7	в самом деле	2	2
8	и в то	1	2
9	по крайней мере	2	2
10	все же не	1	2
11	с другой стороны	3	2
12	в том что	2	2
13	является одним из	1	1
14	а не то	1	1
15	в первую очередь	1	1
16	может быть в	1	1
17	нас до сих	1	1
18	художественного произведения как	1	1
19	у нас до	1	1
20	еще ничего не	2	1
21	но в то	1	1
22	тем что он	1	1
23	не могут быть	2	1
24	нам представляется что	1	1
25	и это для	1	1
26	в этом плане	1	1
27	в конечном счете	4	1
28	в частности с	1	1
29	но это не	1	1
30	и прежде всего	1	1
