N	3gram	Tiupa_Hudo_1	Myslijsy
1	по отношению к	9	8
2	заключает в себе	1	8
3	в том что	7	7
4	о том что	1	5
5	в этом случае	1	5
6	по крайней мере	1	5
7	не может быть	3	5
8	можно сказать что	3	4
9	для того чтобы	2	4
10	то же самое	1	4
11	тем не менее	3	4
12	в то же	5	3
13	в том случае	1	3
14	тем и другим	1	3
15	может быть назван	1	3
16	то же время	5	3
17	с точки зрения	3	3
18	подобно тому как	1	2
19	так или иначе	3	2
20	а в том	1	2
21	таким образом что	1	2
22	в таком случае	1	2
23	не было и	1	2
24	и по отношению	1	2
25	и в том	1	2
26	до известной степени	2	2
27	не что иное	1	2
28	не могут быть	1	2
29	в этих случаях	1	2
30	что иное как	1	2
31	в том и	2	2
32	мы имеем дело	2	2
33	при этом в	1	2
34	во всех подобных	2	1
35	следует иметь в	1	1
36	можно говорить о	1	1
37	с одной стороны	2	1
38	и др в	1	1
39	при этом отношение	1	1
40	заключается в том	1	1
41	тогда как в	1	1
42	в том чем	1	1
43	себе в этом	1	1
44	в себе никаких	1	1
45	на нее как	1	1
46	имеет в своем	1	1
47	значении то есть	1	1
48	бы они ни	1	1
49	при всей своей	1	1
50	с другой стороны	5	1
51	может быть и	2	1
52	имеем дело с	1	1
53	все то что	1	1
54	отношению к нему	1	1
55	в себе в	1	1
56	к тому что	2	1
57	как и в	1	1
58	только о том	1	1
59	могли бы быть	1	1
60	и того же	2	1
61	даже в том	1	1
62	том случае если	1	1
63	на первый взгляд	1	1
64	по поводу этой	1	1
65	он ни был	1	1
66	и состоит чтобы	1	1
67	смысле можно говорить	1	1
68	для меня в	1	1
69	прибавить ни убавить	1	1
70	не была бы	1	1
71	в настоящее время	1	1
72	и в слове	1	1
73	в сравнении с	1	1
74	а тем более	1	1
75	как один из	1	1
76	одного и того	2	1
77	тому что его	1	1
78	в том числе	2	1
79	дело не в	1	1
80	и в самом	1	1
81	в связи с	1	1
82	ни прибавить ни	1	1
83	иметь в виду	1	1
84	есть не что	1	1
85	в виду что	1	1
86	точно так же	1	1
87	случае мы имеем	1	1
88	в этом состоит	1	1
89	том числе и	1	1
90	том и состоит	2	1
91	быть не может	1	1
92	друг от друга	1	1
93	всех подобных случаях	2	1
94	в свою очередь	2	1
95	не об отсутствии	1	1
96	не только к	1	1
97	это было бы	1	1
98	не менее не	1	1
99	может быть названо	2	1
100	на наших глазах	2	1
101	мы говорим о	1	1
102	бы ни был	1	1
103	в то время	1	1
104	имеем дело не	1	1
