N	3gram	Propp_Isto_2	Komedia
1	к тому же	2	10
2	в том что	5	5
3	за то что	1	4
4	вместе с тем	5	4
5	о том что	2	4
6	по отношению к	3	3
7	так или иначе	1	3
8	в связи с	4	3
9	в обоих случаях	1	2
10	в одной из	1	2
11	до сих пор	6	2
12	в отличие от	1	2
13	в это время	1	2
14	с одной стороны	3	2
15	то что он	1	2
16	что у него	1	2
17	к этому времени	1	2
18	после того как	2	2
19	можно было бы	3	2
20	друг с другом	1	2
21	не в состоянии	1	1
22	и здесь нет	2	1
23	состоял в том	1	1
24	здесь нет необходимости	2	1
25	ни одно из	1	1
26	могло бы привести	1	1
27	с самого начала	2	1
28	наряду с этим	2	1
29	но и в	2	1
30	а может быть	1	1
31	точно так же	6	1
32	может быть даже	1	1
33	в этой связи	1	1
34	что он был	1	1
35	ответ на это	1	1
36	на задний план	1	1
37	сих пор в	1	1
38	из тех случаев	1	1
39	все еще остается	1	1
40	только после того	2	1
41	с другой стороны	2	1
42	вместо того чтобы	2	1
43	не может быть	2	1
44	на столе и	1	1
45	в тех случаях	1	1
46	что он не	4	1
47	но уже в	1	1
48	но об этом	1	1
49	связи с этим	1	1
50	мы можем сказать	1	1
51	герой тем самым	1	1
52	другой пример у	1	1
53	не только в	4	1
54	но все же	4	1
55	друг от друга	1	1
56	тех случаях когда	1	1
57	но все эти	1	1
58	тем не менее	1	1
59	можем сказать что	1	1
60	и более поздние	1	1
61	так и более	1	1
