N	4gram	Bakhtin_fo_1	Dialekti
1	одно и то же	3	4
2	в то время как	2	3
3	в то же время	6	3
4	в одно и то	3	1
5	с одной стороны и	2	1
6	времени и пространства и	1	1
7	не вызывает никаких сомнений	1	1
8	и в то же	4	1
9	и то же время	3	1
10	как мы это уже	1	1
11	времени и пространства в	2	1
12	и до сих пор	1	1
13	в широком смысле но	1	1
14	как мы уже сказали	2	1
15	ни с чем не	1	1
16	и может быть только	1	1
17	в жизни и в	1	1
18	так же как и	2	1
19	в связи с этим	2	1
20	одних и тех же	2	1
21	все более и более	1	1
