N	2gram	Vygotskiy__6	VelikijI
1	и не	11	20
2	и в	28	16
3	так как	10	9
4	то что	28	9
5	еще не	8	8
6	в истории	1	8
7	что они	2	7
8	а не	3	7
9	но и	10	5
10	того что	24	5
11	хотя и	3	5
12	все это	2	5
13	что есть	1	5
14	как бы	11	5
15	в его	3	4
16	мы хотим	1	4
17	в этом	27	4
18	что он	18	4
19	потому что	22	4
20	в нем	7	4
21	так и	6	4
22	что все	5	4
23	как и	6	4
24	что мы	11	4
25	в котором	2	4
26	и все	5	4
27	это еще	1	4
28	они будут	1	4
29	все что	1	4
30	от этого	3	3
31	и что	6	3
32	в чем	6	3
33	с его	3	3
34	во всех	4	3
35	что и	4	3
36	в том	28	3
37	тот же	1	3
38	но в	5	3
39	все эти	2	3
40	за ним	2	3
41	в конце	2	3
42	их в	1	3
43	в своей	2	3
44	ни в	1	3
45	в них	3	3
46	если не	1	3
47	в этих	2	3
48	что во	1	3
49	в первый	1	3
50	что я	2	3
51	не в	4	3
52	тому что	11	3
53	но это	2	3
54	не имеет	6	3
55	никогда не	8	3
56	первый раз	1	3
57	к тому	10	3
58	что в	17	3
59	оно не	4	3
60	и это	1	2
61	того чтобы	10	2
62	и то	4	2
63	от своей	1	2
64	но мы	3	2
65	это мы	3	2
66	можно было	7	2
67	и за	1	2
68	мы не	6	2
69	с ним	2	2
70	вместо того	2	2
71	и во	1	2
72	между тем	1	2
73	нет и	1	2
74	от этих	1	2
75	которые не	1	2
76	не с	2	2
77	его к	1	2
78	только в	18	2
79	в себя	3	2
80	конечно не	1	2
81	уже не	1	2
82	не только	16	2
83	его и	1	2
84	для него	6	2
85	в прошлом	1	2
86	не могли	5	2
87	вот почему	2	2
88	тем что	8	2
89	на том	2	2
90	это не	5	2
91	а с	1	2
92	прежде всего	2	2
93	соединение в	1	2
94	все равно	1	2
95	с тем	5	2
96	мы и	4	2
97	один из	3	2
98	для человека	1	2
99	и тогда	1	2
100	не могут	5	2
101	является в	1	2
102	самого себя	1	2
103	в старой	1	2
104	над ними	2	2
105	одна из	1	2
106	что их	3	2
107	том что	19	2
108	для нас	2	2
109	от него	2	2
110	и теперь	1	2
111	они и	1	2
112	ее в	2	2
113	до того	3	2
114	это все	1	2
115	а в	2	2
116	но не	10	2
117	могут быть	5	2
118	закономерности и	1	1
119	если б	1	1
120	как мы	10	1
121	будет так	1	1
122	в ее	1	1
123	смысла от	1	1
124	было сказать	1	1
125	и до	1	1
126	и самое	1	1
127	значение в	1	1
128	которое может	1	1
129	то же	7	1
130	и могут	1	1
131	этом первом	1	1
132	в результате	1	1
133	по сравнению	15	1
134	сливаться с	1	1
135	что уже	2	1
136	вопрос о	5	1
137	и вообще	2	1
138	только это	1	1
139	находится в	1	1
140	выше самого	1	1
141	я не	4	1
142	и ее	1	1
143	зависимости от	5	1
144	в их	3	1
145	и на	5	1
146	после того	1	1
147	и который	1	1
148	что оно	7	1
149	к нему	1	1
150	тогда мы	2	1
151	ко всякому	1	1
152	но как	3	1
153	с которыми	1	1
154	в новом	2	1
155	а потому	1	1
156	себе и	2	1
157	бы в	3	1
158	себя но	1	1
159	не просто	1	1
160	и можно	1	1
161	его на	1	1
162	как в	3	1
163	и самые	1	1
164	пути в	1	1
165	в своем	7	1
166	все же	2	1
167	но с	2	1
168	уже сказано	1	1
169	в двух	1	1
170	могли бы	9	1
171	идет по	2	1
172	природе в	2	1
173	мы видим	7	1
174	с ними	2	1
175	мы увидим	1	1
176	и хотя	1	1
177	в самом	8	1
178	у них	2	1
179	в которой	7	1
180	что это	1	1
181	в целом	3	1
182	сущности и	1	1
183	в этой	5	1
184	в известном	1	1
185	не знающего	1	1
186	им в	1	1
187	он делает	2	1
188	и современная	1	1
189	то и	1	1
190	тем чтобы	1	1
191	в виде	1	1
192	по законам	1	1
193	каким образом	2	1
194	или даже	1	1
195	в понимании	1	1
196	и навсегда	1	1
197	и должна	1	1
198	вовсе не	1	1
199	не для	1	1
200	отношение к	7	1
201	но что	4	1
202	у него	2	1
203	и по	3	1
204	на этом	4	1
205	бы все	1	1
206	в руки	1	1
207	переход к	3	1
208	человека в	1	1
209	для того	8	1
210	в состоянии	4	1
211	и с	1	1
212	этой новой	1	1
213	как возможно	2	1
214	с другой	2	1
215	есть не	1	1
216	должен привести	1	1
217	еще и	1	1
218	и тем	5	1
219	говорит о	1	1
220	и своего	2	1
221	далее и	1	1
222	о чем	1	1
223	места в	1	1
224	где есть	1	1
225	таким же	1	1
226	вместе с	7	1
227	так же	15	1
228	ко всем	4	1
229	как это	3	1
230	за которым	1	1
231	что всякий	2	1
232	над ним	1	1
233	у нас	2	1
