N	3gram	Tiupa_Disk_2	Poddanst
1	в то же	4	7
2	то же время	5	7
3	в том что	6	4
4	с точки зрения	2	3
5	с одной стороны	4	3
6	в том числе	1	2
7	одной стороны и	2	2
8	и в то	1	2
9	заключает в себе	2	2
10	в полной мере	1	2
11	в своем значении	1	2
12	том что в	1	1
13	в этом мире	2	1
14	и не может	2	1
15	можно говорить о	1	1
16	в отличие от	12	1
17	и именно в	1	1
18	и то что	2	1
19	и в частности	1	1
20	в применении к	1	1
21	мы все же	1	1
22	а также отчасти	1	1
23	в одно и	1	1
24	не в том	1	1
25	во всяком случае	1	1
26	с другой стороны	1	1
27	не может быть	3	1
28	но также и	1	1
29	та или иная	1	1
30	в большинстве случаев	1	1
31	но в этом	1	1
32	да и само	1	1
33	том числе и	1	1
