N	3gram	Bakhtin_Fr_8	Mirosoze
1	не может быть	2	8
2	друг к другу	1	5
3	для того чтобы	2	4
4	и в этом	1	3
5	до сих пор	8	3
6	о том что	2	2
7	подобно тому как	1	2
8	что это не	1	2
9	как и в	4	2
10	после того как	1	2
11	может быть и	1	2
12	по отношению к	1	2
13	в том что	6	2
14	никогда не бывает	1	2
15	к другу и	1	2
16	мы еще вернемся	1	2
17	и тогда когда	1	1
18	и потому они	1	1
19	и в основе	1	1
20	не потому что	1	1
21	один из первых	1	1
22	таковы были и	1	1
23	во всем и	1	1
24	такие явления и	1	1
25	по сравнению с	1	1
26	в нем были	1	1
27	а следовательно и	1	1
28	что это за	1	1
29	на протяжении всего	1	1
30	потому что в	1	1
31	в нем и	2	1
32	лишь один из	1	1
33	народной жизни из	1	1
34	в самом строении	1	1
35	и в той	1	1
36	на самом деле	1	1
37	и в нем	1	1
38	но он не	1	1
39	по своему значению	1	1
40	в землю и	1	1
41	они до сих	1	1
42	в этом отношении	1	1
43	той или иной	1	1
44	том что все	1	1
45	а не к	1	1
46	мы видим в	1	1
47	жизни это была	1	1
48	не было еще	1	1
49	один из моментов	1	1
50	на эту тему	1	1
51	но и в	1	1
52	том что это	1	1
53	и во всем	1	1
54	к которой мы	1	1
55	с точки зрения	2	1
