N	2gram	Berdyaev_M_1	SlovoVZh
1	не может	28	16
2	может быть	30	14
3	точки зрения	4	14
4	как бы	2	13
5	и его	9	13
6	и в	28	12
7	по отношению	2	11
8	отношению к	2	11
9	и не	11	10
10	если бы	2	9
11	так как	3	9
12	прежде всего	10	8
13	сказать что	2	7
14	для нас	3	7
15	в ней	15	6
16	в том	6	6
17	только в	6	6
18	в нем	13	6
19	все время	1	6
20	должна быть	6	5
21	в виду	2	5
22	как в	2	5
23	но в	7	5
24	и др	1	5
25	в жизни	3	5
26	а не	25	5
27	как и	5	5
28	что мы	1	5
29	том что	3	5
30	никогда не	14	5
31	хотя бы	3	5
32	то что	5	5
33	мы все	1	4
34	на самом	1	4
35	зависимости от	1	4
36	литературы и	2	4
37	к нему	7	4
38	за пределы	4	4
39	в этом	20	4
40	все же	2	4
41	в самом	11	4
42	уже не	4	4
43	не только	29	4
44	отношение к	4	4
45	от того	1	4
46	так и	1	4
47	что не	1	4
48	не в	16	4
49	его в	3	4
50	и к	2	4
51	жизни и	2	4
52	и на	6	4
53	самом деле	1	3
54	в котором	8	3
55	в пределах	1	3
56	еще не	1	3
57	мы не	1	3
58	о том	2	3
59	но и	25	3
60	между тем	1	3
61	того что	7	3
62	быть и	1	3
63	когда он	3	3
64	и наконец	1	3
65	и ее	1	3
66	все эти	2	3
67	конечно не	3	3
68	в себе	7	3
69	да и	1	3
70	в творчестве	10	3
71	для него	11	3
72	он должен	3	3
73	не к	4	3
74	и по	4	3
75	и с	3	3
76	точек зрения	1	3
77	до сих	2	3
78	в них	4	3
79	в своей	15	3
80	так же	1	3
81	в такой	1	3
82	как к	1	3
83	и более	1	3
84	в содержание	1	3
85	произведения и	1	3
86	сих пор	2	3
87	не менее	1	3
88	все это	6	3
89	и для	2	3
90	находит свое	1	3
91	с ним	2	3
92	отношении к	2	3
93	в каком	2	3
94	и то	1	2
95	и самое	1	2
96	ко всем	3	2
97	не отражает	1	2
98	по природе	1	2
99	мы имеем	1	2
100	не способен	1	2
101	не остается	2	2
102	и та	1	2
103	с его	3	2
104	и что	2	2
105	тем как	1	2
106	для других	1	2
107	в его	9	2
108	что и	4	2
109	относится к	2	2
110	в своем	10	2
111	социальной среды	3	2
112	его к	1	2
113	и потому	10	2
114	бы не	2	2
115	уже в	4	2
116	и те	2	2
117	имеем в	1	2
118	эти и	1	2
119	в душе	1	2
120	он не	24	2
121	не так	3	2
122	в зависимости	1	2
123	к ним	1	2
124	из него	1	2
125	на все	1	2
126	влияние на	1	2
127	это не	5	2
128	оно не	1	2
129	делает его	1	2
130	себя и	3	2
131	до конца	14	2
132	его как	2	2
133	смысл и	1	2
134	в момент	3	2
135	нет ничего	7	2
136	вместе с	6	2
137	можно найти	1	2
138	в отношении	1	2
139	к его	1	2
140	но не	8	2
141	место в	2	2
142	точку зрения	1	2
143	с этой	4	2
144	она не	4	2
145	в атмосфере	1	2
146	является для	1	2
147	в то	2	2
148	за его	1	2
149	ничего не	3	2
150	а к	1	2
151	и все	10	2
152	в этих	4	2
153	есть уже	4	2
154	но это	1	2
155	человеческого общества	1	2
156	от всех	1	2
157	но этот	1	2
158	могут быть	2	2
159	выходят за	1	2
160	на это	1	2
161	что в	10	2
162	бы даже	1	2
163	не есть	9	2
164	к этому	2	2
165	это художественное	1	1
166	различные стороны	1	1
167	и это	12	1
168	ту же	1	1
169	и о	1	1
170	чтобы не	2	1
171	момент в	2	1
172	это и	4	1
173	с первого	1	1
174	не хочет	2	1
175	когда человек	3	1
176	то время	2	1
177	проникает в	2	1
178	похожее на	1	1
179	высшей степени	2	1
180	с таким	1	1
181	не стремится	1	1
182	противоречит самым	1	1
183	определяется в	1	1
184	можно было	1	1
185	и взаимоотношения	1	1
186	мы уже	1	1
187	было в	1	1
188	психологическое но	1	1
189	жизнь и	1	1
190	та же	1	1
191	является в	1	1
192	из одного	1	1
193	к другу	1	1
194	в содержании	1	1
195	собственно в	1	1
196	не вполне	1	1
197	и такой	1	1
198	их но	1	1
199	не знают	3	1
200	и он	12	1
201	стороны его	1	1
202	человек занимает	1	1
203	и кровь	2	1
204	в значительной	1	1
205	во всех	1	1
206	и во	2	1
207	то мы	1	1
208	все в	6	1
209	друг к	1	1
210	от его	2	1
211	к которой	1	1
212	менее всего	7	1
213	искусства в	1	1
214	себе и	2	1
215	в свои	1	1
216	и можно	1	1
217	что они	1	1
218	природы это	3	1
219	и уж	2	1
220	и она	2	1
221	в одной	1	1
222	и мир	2	1
223	комнаты и	1	1
224	на которой	1	1
225	кто не	1	1
226	в новой	1	1
227	нему как	1	1
228	мы увидим	3	1
229	ли он	1	1
230	увидим что	4	1
231	более глубокую	1	1
232	чего же	2	1
233	движение и	1	1
234	не имеющих	1	1
235	в обществе	1	1
236	отказывается от	1	1
237	в эти	1	1
238	себя в	3	1
239	это ни	1	1
240	литературы в	1	1
241	во многих	1	1
242	только психологическое	1	1
243	что она	1	1
244	не вне	1	1
245	обращение к	1	1
246	оно всегда	1	1
247	приходят к	2	1
248	его и	1	1
249	явление но	1	1
250	одно из	3	1
251	себе в	1	1
252	и их	3	1
253	творчестве достоевского	4	1
254	всяком случае	1	1
255	ведь это	2	1
256	не как	4	1
257	в одном	1	1
258	и вот	3	1
259	вовсе не	1	1
260	у нее	1	1
261	как его	1	1
262	у него	17	1
263	на этом	3	1
264	нее не	1	1
265	характерны для	1	1
266	значительной степени	1	1
267	даже и	2	1
268	ее истории	1	1
269	бы это	1	1
270	и только	1	1
271	внешней социальной	1	1
272	они должны	1	1
273	ее пределы	1	1
274	выходит за	1	1
275	и из	1	1
276	должно быть	3	1
277	входит в	2	1
278	на протяжении	2	1
279	который и	2	1
280	и мы	2	1
281	было бы	10	1
282	к которому	1	1
283	не совпадает	1	1
284	определяется тем	1	1
285	или о	1	1
286	кажется что	1	1
287	говорит о	1	1
288	во внутренней	1	1
289	для них	3	1
290	от нее	5	1
291	одного только	1	1
292	не было	18	1
293	рядом с	1	1
294	это прежде	1	1
295	не знает	4	1
296	из подполья	10	1
297	и самый	2	1
298	не на	1	1
299	в ее	3	1
300	которой он	1	1
301	одна и	1	1
