N	3gram	Medvedev_S_1	Formalny
1	в то же	1	7
2	то же время	1	7
3	во всяком случае	1	6
4	в связи с	1	4
5	по отношению к	2	3
6	то же самое	1	3
7	в том что	2	3
8	ровно ничего не	1	2
9	о том как	1	2
10	и в то	1	2
11	только то что	1	2
12	дело не в	2	2
13	в конце концов	2	2
14	не выходит за	1	1
15	в настоящее время	1	1
16	том что это	1	1
17	на первый план	1	1
18	в лучшем случае	1	1
19	в противном случае	1	1
20	исторического развития литературы	2	1
21	между ними в	1	1
22	только в этом	2	1
23	с одной стороны	1	1
24	не в том	2	1
25	может развиваться в	1	1
26	выходит за пределы	1	1
27	наука о литературе	1	1
28	сама по себе	1	1
