N	2gram	Losev_Vlad_1	EvropaiE
1	и в	31	37
2	в отношении	3	32
3	точки зрения	2	23
4	что в	14	21
5	не только	24	18
6	в то	8	16
7	то же	6	15
8	хотя бы	2	15
9	отношении к	1	15
10	в своем	4	14
11	но в	12	14
12	же время	4	14
13	в качестве	6	14
14	но и	19	14
15	и не	17	14
16	в этом	14	12
17	в их	1	11
18	в области	1	11
19	в том	11	11
20	н с	1	11
21	с и	2	10
22	так и	6	10
23	отнюдь не	3	9
24	в себе	4	9
25	только в	9	9
26	прежде всего	1	9
27	не может	6	9
28	так же	1	9
29	было бы	2	8
30	в своей	4	8
31	к тому	3	8
32	с одной	1	8
33	одной стороны	1	8
34	также и	10	7
35	нам кажется	1	7
36	а также	5	7
37	того что	2	7
38	так как	8	7
39	с другой	3	7
40	и выше	1	7
41	как и	4	7
42	по своему	3	7
43	между прочим	11	7
44	может быть	6	6
45	и на	3	6
46	во всех	1	6
47	на то	5	6
48	то есть	3	6
49	том что	14	6
50	того чтобы	2	6
51	вовсе не	5	6
52	для того	2	6
53	в последние	1	6
54	и даже	15	6
55	с этой	1	6
56	то что	18	6
57	столь же	1	5
58	но не	3	5
59	не в	5	5
60	в россии	4	5
61	и по	8	5
62	но если	1	5
63	тем самым	2	5
64	как мы	9	5
65	одной из	2	5
66	в виде	3	5
67	со стороны	2	5
68	в частности	2	5
69	и потому	6	5
70	в течение	9	5
71	то в	1	4
72	мы не	1	4
73	вопрос о	1	4
74	в полной	2	4
75	но даже	2	4
76	в некотором	1	4
77	в ней	1	4
78	в самом	2	4
79	то ни	1	4
80	несмотря на	4	4
81	чем в	1	4
82	даже в	2	4
83	и притом	3	4
84	к ней	4	4
85	бы то	1	4
86	можно сказать	6	4
87	тем более	2	4
88	именно в	1	4
89	ни было	1	4
90	как это	7	4
91	для нас	4	4
92	сказать что	7	4
93	в каком	2	4
94	на себя	3	3
95	того же	6	3
96	россии и	2	3
97	в общем	3	3
98	как в	3	3
99	когда он	5	3
100	и к	6	3
101	себе не	1	3
102	представляет собой	1	3
103	но на	3	3
104	мы можем	1	3
105	не будет	1	3
106	и мы	2	3
107	этом смысле	4	3
108	и тем	1	3
109	в них	2	3
110	с тем	2	3
111	можно считать	2	3
112	во второй	1	3
113	она в	1	3
114	дело в	4	3
115	никогда не	9	3
116	потому что	11	3
117	уже и	2	3
118	о том	11	3
119	россии к	1	3
120	как было	2	3
121	от них	1	3
122	место в	2	3
123	что и	5	3
124	и только	1	3
125	всяком случае	2	3
126	этот факт	2	3
127	не из	2	3
128	из них	2	3
129	в известной	1	3
130	последние годы	1	3
131	тем что	2	3
132	этом отношении	1	3
133	и например	1	3
134	по своим	3	3
135	в свою	1	3
136	говорит о	1	3
137	в данном	1	3
138	известной степени	1	3
139	и для	2	3
140	и от	5	3
141	в результате	2	3
142	жизни в	1	3
143	ее в	1	3
144	как на	2	3
145	в таком	1	3
146	во всяком	2	3
147	сказанному выше	1	2
148	и то	10	2
149	ведь и	1	2
150	с в	3	2
151	есть не	1	2
152	что если	1	2
153	в англию	2	2
154	не нужно	1	2
155	на них	1	2
156	он сам	2	2
157	россия и	1	2
158	но как	5	2
159	в сторону	1	2
160	в свои	2	2
161	в истории	4	2
162	его на	2	2
163	поскольку они	1	2
164	хотя и	4	2
165	километров от	1	2
166	и как	4	2
167	в этой	4	2
168	что к	3	2
169	и если	5	2
170	главным образом	4	2
171	он не	10	2
