N	2gram	Bakhtin_Fr_6	KulturaY
1	и в	41	23
2	точки зрения	2	23
3	в том	2	22
4	не только	10	17
5	в этом	12	16
6	было бы	3	16
7	с точки	2	16
8	самом деле	4	14
9	может быть	2	14
10	в области	2	14
11	в самом	10	13
12	что в	7	13
13	не менее	1	12
14	потому что	3	12
15	для того	1	12
16	том что	7	11
17	того чтобы	4	11
18	можно было	1	11
19	в его	7	11
20	того что	3	11
21	а не	2	11
22	у нас	4	10
23	и не	3	10
24	еще не	1	9
25	таким образом	17	9
26	так как	10	9
27	прежде всего	10	9
28	лишь в	2	8
29	зависимости от	1	8
30	уже не	1	8
31	до сих	3	8
32	сих пор	3	8
33	между прочим	1	8
34	как на	1	8
35	как это	2	7
36	в зависимости	1	7
37	все эти	11	7
38	в нашем	1	7
39	того как	1	7
40	если мы	2	7
41	те же	3	7
42	и что	5	7
43	с другой	4	7
44	в языке	1	7
45	или иной	1	7
46	на фоне	1	7
47	в данном	3	7
48	слова и	1	7
49	сказать что	6	7
50	то же	5	6
51	говорить о	2	6
52	с помощью	6	6
53	только в	3	6
54	так и	5	6
55	при этом	3	6
56	и тем	1	6
57	с тем	1	6
58	в их	1	6
59	ничего не	1	6
60	связи с	2	6
61	не может	4	6
62	могут быть	1	6
63	по себе	1	6
64	о том	9	6
65	после того	1	6
66	что и	1	6
67	тот же	4	6
68	что он	6	6
69	для этого	2	6
70	также и	6	5
71	в первом	3	5
72	как мы	12	5
73	в чем	3	5
74	все же	4	5
75	хотя и	2	5
76	из этих	2	5
77	как бы	7	5
78	как и	7	5
79	не в	4	5
80	вовсе не	7	5
81	не могут	2	5
82	той или	1	5
83	всякого рода	1	5
84	тем что	5	5
85	далеко не	1	5
86	в связи	1	5
87	что же	1	5
88	не будем	2	5
89	тем более	2	5
90	но это	3	5
91	а в	4	5
92	того же	4	4
93	тех же	2	4
94	в сущности	8	4
95	как в	4	4
96	в своем	5	4
97	в целом	1	4
98	ясно что	1	4
99	этого слова	1	4
100	что значит	1	4
101	в своей	2	4
102	не столько	1	4
103	же мы	1	4
104	тогда когда	2	4
105	о них	1	4
106	как раз	2	4
107	в числе	1	4
108	и о	1	4
109	в ее	5	4
110	данном случае	2	4
111	для нас	2	4
112	а также	5	4
113	заключается в	2	4
114	между тем	2	4
115	один из	6	4
116	с одной	4	4
117	что не	3	4
118	не было	1	4
119	однако что	1	4
120	одной стороны	4	4
121	мы говорим	1	4
122	в той	5	4
123	то что	10	4
124	в таком	1	4
125	на самом	1	3
126	это и	2	3
127	то в	1	3
128	той же	5	3
129	мы не	2	3
130	сам по	1	3
131	в ней	4	3
132	время в	1	3
133	но не	2	3
134	то он	2	3
135	по отношению	1	3
136	отношение к	1	3
137	литературной речи	1	3
138	что именно	2	3
139	и к	1	3
140	что это	5	3
141	бы не	1	3
142	он не	2	3
143	и вот	1	3
144	и с	16	3
145	зрения на	1	3
146	с этой	3	3
147	мы видели	2	3
148	но если	2	3
149	в которых	1	3
150	не понимает	1	3
151	в отношении	1	3
152	перед собою	1	3
153	в то	6	3
154	как о	2	3
155	не имеет	1	3
156	на него	1	3
157	и именно	1	3
158	должна быть	2	3
159	был бы	2	3
160	всего этого	1	3
161	только то	1	3
162	в результате	4	3
163	но и	13	3
164	нас в	1	3
165	отметить что	2	3
166	это не	1	3
167	этот вопрос	1	3
168	уже в	4	3
169	ни в	1	3
170	могло бы	1	3
171	мы находим	2	3
172	то это	1	3
173	именно в	4	3
174	а именно	2	3
175	а с	1	3
176	в англии	1	3
177	xix века	1	3
178	по существу	1	3
179	там где	5	3
180	это уже	2	3
181	пор еще	3	3
182	формы и	1	3
183	другой стороны	2	3
184	по поводу	1	3
185	они не	3	3
186	также что	3	2
187	чтобы не	1	2
188	по адресу	1	2
189	и через	1	2
190	через которые	1	2
191	тем же	1	2
192	отношению к	1	2
193	одним и	1	2
194	подчеркнуть что	5	2
195	и говорить	1	2
196	здесь не	1	2
