N	2gram	Bakhtin_sl_2	Psycholo
1	в том	5	37
2	и в	39	32
3	и что	1	22
4	то есть	26	21
5	том что	5	21
6	таким образом	8	21
7	то что	2	21
8	что в	3	20
9	может быть	37	18
10	точки зрения	8	17
11	что и	3	17
12	не может	20	17
13	что она	1	16
14	того чтобы	2	14
15	то же	4	13
16	в этом	16	13
17	при этом	7	13
18	для того	2	13
19	что он	2	13
20	в самом	1	12
21	не только	24	12
22	по себе	5	12
23	так как	4	12
24	на то	1	11
25	в основе	4	11
26	и т	35	10
27	с точки	3	10
28	но и	21	10
29	как и	6	10
30	и не	22	10
31	как в	13	9
32	никогда не	7	9
33	что при	1	9
34	тем что	1	9
35	в своих	1	9
36	с таким	2	8
37	той же	3	8
38	не в	9	8
39	не менее	4	8
40	дело с	4	8
41	т п	33	8
42	того что	1	8
43	в сущности	6	7
44	и как	3	7
45	все эти	6	7
46	такой же	1	7
47	и его	33	7
48	только в	5	7
49	а не	14	7
50	сказать что	3	7
51	в этой	1	6
52	целый ряд	1	6
53	он не	2	6
54	те же	2	6
55	о том	2	6
56	все время	1	6
57	как бы	7	6
58	и на	4	5
59	что его	1	5
60	только на	1	5
61	на все	1	5
62	далеко не	2	5
63	все это	16	5
64	в то	4	5
65	в ней	3	5
66	и даже	7	5
67	до сих	2	5
68	отнюдь не	1	5
69	он говорит	1	5
70	сих пор	2	5
71	как раз	1	5
72	этом отношении	3	5
73	ту же	3	4
74	есть не	1	4
75	в чем	3	4
76	иметь дело	2	4
77	из которого	1	4
78	с этим	2	4
79	все же	6	4
80	с той	1	4
81	в целом	1	4
82	и те	1	4
83	в нем	19	4
84	и по	1	4
85	и с	9	4
86	и тем	1	4
87	несмотря на	1	4
88	в данном	2	4
89	которые в	2	4
90	и более	2	4
91	того как	2	4
92	ничего не	1	4
93	и до	1	4
94	в сознании	1	4
95	и для	5	4
96	могут быть	7	4
97	тем не	1	4
98	утверждать что	1	4
99	если же	1	4
100	и это	1	4
101	и сам	1	4
102	никак не	1	4
103	между тем	3	4
104	в языке	2	4
105	таким путем	1	4
106	а на	1	4
107	приходится иметь	2	4
108	когда она	1	4
109	как это	3	4
110	материал для	2	4
111	и все	5	4
112	а в	4	4
113	жизни и	6	4
114	например в	5	3
115	отношении к	4	3
116	на тех	1	3
117	мы не	2	3
118	имеет дело	2	3
119	и прозаической	1	3
120	во всех	12	3
121	но как	2	3
122	если оно	2	3
123	нашего сознания	2	3
124	как к	3	3
125	и к	6	3
126	но в	6	3
127	та же	1	3
128	он в	1	3
129	по самому	1	3
130	в поэзии	2	3
131	на этом	3	3
132	об этом	1	3
133	это было	1	3
134	в своей	1	3
135	в их	2	3
136	но он	2	3
137	в отношении	4	3
138	тогда когда	2	3
139	мы можем	1	3
140	в нас	1	3
141	во всем	4	3
142	не могут	5	3
143	с ее	2	3
144	в виду	1	3
145	так и	15	3
146	для этого	4	3
147	образом в	1	3
148	с другой	5	3
149	бы и	3	3
150	один из	5	3
151	действующих лиц	2	3
152	и ее	1	3
153	что не	1	3
154	и других	4	3
155	и их	5	3
156	представить себе	1	3
157	сами по	1	3
158	в конце	1	3
159	может служить	1	3
160	которых мы	2	3
161	до конца	17	3
162	в частности	1	3
163	того или	1	3
164	в смысле	4	3
165	еще более	2	3
166	хотя бы	3	3
167	только как	1	3
168	в свою	3	3
169	также и	2	2
170	того же	1	2
