N	3gram	Losev_Prob_2	EvropaiE
1	в то же	4	15
2	и в то	1	8
3	с одной стороны	5	8
4	одной стороны и	3	6
5	в том что	4	6
6	как нам кажется	1	5
7	так же как	1	5
8	для того чтобы	2	5
9	бы то ни	2	4
10	не только в	2	4
11	то ни было	1	4
12	и в этом	3	4
13	того или иного	5	4
14	само по себе	2	4
15	той или иной	1	4
16	в той или	1	3
17	в этом смысле	5	3
18	же как и	1	3
19	хотя бы и	3	3
20	в этом отношении	1	3
21	можно было бы	2	3
22	ту или иную	1	3
23	в известном смысле	1	3
24	во всяком случае	10	3
25	и прежде всего	2	3
26	можно сказать что	3	3
27	или хотя бы	2	2
28	того что в	1	2
29	не говоря уже	4	2
30	нам кажется что	1	2
31	только в том	4	2
32	и со стороны	1	2
33	то что в	1	2
34	к тому чтобы	1	2
35	и в частности	3	2
36	в данном случае	5	2
37	заключается в том	2	2
38	по нашему мнению	1	2
39	и только в	1	2
40	так и в	1	2
41	с другой стороны	5	2
42	не может быть	3	2
43	и все другие	1	2
44	в частности в	2	2
45	хотя бы в	1	2
46	на то что	4	2
47	друг от друга	2	2
48	и не имеет	1	2
49	не может не	1	1
50	что в этом	1	1
51	мы хотели бы	1	1
52	он сам и	1	1
53	в последнее время	1	1
54	в виде некоторого	1	1
55	более или менее	4	1
56	также и в	1	1
57	можно сказать даже	1	1
58	наше внимание на	1	1
59	несмотря на то	1	1
60	и не только	1	1
61	и во многих	1	1
62	и число их	1	1
63	говоря уже о	4	1
64	том случае если	1	1
65	то и другое	1	1
66	представление о том	1	1
67	того что мы	1	1
68	есть то что	2	1
69	не будет ли	1	1
70	но и в	3	1
71	котором мы говорили	1	1
72	даже вовсе не	1	1
73	и для всех	1	1
74	том числе и	2	1
75	мы говорили в	1	1
76	в значительной мере	3	1
77	то или иное	2	1
78	и в этих	1	1
79	может быть и	2	1
80	говорить не о	1	1
81	не имеет никаких	2	1
82	это может быть	1	1
83	и в своем	1	1
84	но именно о	1	1
85	и когда мы	1	1
86	значит ли это	1	1
87	и тот же	2	1
88	и в отношении	1	1
89	в том случае	2	1
90	в отношении содержания	1	1
91	то время как	1	1
92	уже и теперь	1	1
93	не относится к	1	1
94	в связи с	5	1
95	но как бы	1	1
96	мы отнюдь не	1	1
97	друг к другу	2	1
98	о котором мы	1	1
99	в самом понятии	1	1
100	в каком смысле	1	1
101	и даже вовсе	1	1
102	это должно быть	1	1
103	отнюдь не означает	1	1
104	один и тот	2	1
105	мы бы сказали	1	1
106	мы не можем	1	1
107	в то время	1	1
108	говорить о том	1	1
109	та или иная	2	1
110	связи с этим	2	1
111	то есть в	2	1
112	и тем самым	1	1
113	это значит что	3	1
114	они относятся к	1	1
115	и тем более	1	1
116	на то или	1	1
117	и связанного с	1	1
118	для нас в	1	1
119	ли это что	1	1
120	в том числе	2	1
121	во многих отношениях	1	1
122	в ту или	1	1
123	или вовсе не	1	1
124	гораздо сложнее чем	1	1
125	в себе в	2	1
126	насколько можно судить	1	1
127	на то чтобы	1	1
128	только тогда когда	3	1
129	и т д	6	1
