N	4gram	Vygotskiy__5	Vvedenie
1	в той мере в	3	5
2	той мере в какой	2	5
3	не что иное как	1	4
4	с одной стороны и	1	3
5	вопрос о том что	1	3
6	состоит в том что	3	2
7	на вопрос о том	2	2
8	есть не что иное	1	2
9	для того чтобы он	1	2
10	одной и той же	1	2
11	по самой своей природе	2	2
12	заключается в том что	4	2
13	ответ на этот вопрос	2	2
14	для того чтобы понять	1	2
15	одного и того же	3	1
16	мы имеем в виду	1	1
17	одно и то же	1	1
18	в собственном смысле слова	1	1
19	мере в какой они	1	1
20	то же самое что	2	1
21	заключается в том чтобы	1	1
22	не иначе как через	2	1
23	в том виде как	1	1
24	но вместе с тем	1	1
25	с этой точки зрения	4	1
26	для того чтобы сделать	1	1
27	но в этом случае	1	1
28	представление о том что	1	1
