N	3gram	Losev_Vlad_2	VelikijI
1	за то что	1	3
2	в первый раз	1	3
3	то что я	1	2
4	том что он	2	2
5	в том что	9	2
6	и т д	1	2
7	но все же	1	1
8	и вообще в	2	1
9	не понимает и	1	1
10	то ни стало	1	1
11	русском самодержавии и	1	1
12	и во всяком	1	1
13	во что бы	1	1
14	и в сознании	1	1
15	вот в чем	1	1
16	сознании и в	1	1
17	в сознании и	1	1
18	с богом и	1	1
19	бы то ни	1	1
20	хотя бы от	1	1
21	по крайней мере	4	1
22	вместе с тем	1	1
23	что бы то	1	1
24	того что он	1	1
25	есть и великая	1	1
26	все равно не	1	1
27	в конце концов	3	1
28	в русском самодержавии	1	1
29	его личности и	1	1
30	что я не	1	1
31	в том заключается	1	1
32	понимает и не	1	1
33	и мы все	1	1
34	раз и навсегда	1	1
35	после того как	2	1
36	и хотя и	1	1
