N	2gram	Bakhtin_sl_2	Marksizm
1	чужой речи	16	53
2	может быть	37	28
3	передачи чужой	8	24
4	и в	39	19
5	и не	22	19
6	как бы	7	19
7	не может	20	18
8	в процессе	13	18
9	точки зрения	8	17
10	и его	33	16
11	то же	4	16
12	языка и	9	15
13	как мы	7	15
14	в этом	16	15
15	таким образом	8	14
16	так сказать	6	14
17	лишь в	3	14
18	в сущности	6	14
19	связи с	3	13
20	чужого слова	40	13
21	косвенной речи	1	13
22	речи и	3	13
23	с точки	3	13
24	чужого высказывания	2	13
25	не только	24	13
26	высказывание как	1	12
27	вовсе не	10	11
28	в нем	19	11
29	высказывания и	1	11
30	не в	9	10
31	так и	15	10
32	речи в	1	10
33	и т.п	2	10
34	но и	21	10
35	в пределах	13	10
36	том что	5	10
37	чужое высказывание	1	9
38	как и	6	9
39	языка как	7	9
40	для него	7	9
41	на почве	4	9
42	в основе	4	9
43	при этом	7	9
44	и чужой	1	9
45	а не	14	9
46	отношению к	4	8
47	отнюдь не	1	8
48	же время	4	8
49	по отношению	4	8
50	авторского контекста	1	8
51	в то	4	8
52	чужое слово	10	8
53	только в	5	8
54	слова в	13	8
55	с его	7	8
56	не является	1	8
57	чужую речь	2	7
58	высказывания как	1	7
59	в связи	2	7
60	прежде всего	8	7
61	и для	5	7
62	высказывания в	1	7
63	его в	4	7
64	в таком	4	7
65	в том	5	7
66	никогда не	7	7
67	чужая речь	1	7
68	в языке	2	7
69	одна из	4	7
70	но в	6	7
71	и более	2	7
72	и все	5	6
73	с помощью	4	6
74	хотя бы	3	6
75	того чтобы	2	6
76	во всех	12	6
77	более того	2	6
78	между тем	3	6
79	и значение	1	6
80	в смысле	4	6
81	ни в	4	6
82	для того	2	6
83	мы уже	2	6
84	в самом	1	6
85	слова и	8	6
86	форм передачи	4	6
87	в направлении	1	6
88	язык как	3	6
89	мы можем	1	6
90	быть и	3	6
91	и следовательно	1	6
92	и как	3	6
93	в свою	3	6
94	как слово	2	5
95	и здесь	2	5
96	все же	6	5
97	отношении к	4	5
98	большинстве случаев	5	5
99	к нему	3	5
100	в большинстве	6	5
101	в их	2	5
102	в форме	2	5
103	на этой	1	5
104	этой почве	1	5
105	в той	4	5
106	в его	7	5
107	выражение в	1	5
108	смысле слова	1	5
109	свою очередь	2	5
110	того же	1	5
111	в контексте	3	5
112	или иной	5	5
113	этого слова	1	5
114	и на	4	5
115	самого начала	1	5
116	с самого	1	5
117	к этому	1	5
118	в данном	2	5
119	в себе	2	4
120	все те	1	4
121	в русском	1	4
122	и ее	1	4
123	и их	5	4
124	должна быть	3	4
125	на то	1	4
126	как раз	1	4
127	значение в	2	4
128	в отношении	4	4
129	того что	1	4
130	в формах	1	4
131	точном смысле	2	4
132	это не	5	4
133	мы видели	2	4
134	то что	2	4
135	слова о	2	4
136	ведь если	1	4
137	а как	1	4
138	русском языке	1	4
139	одного и	1	4
140	сказать что	3	4
141	ничего не	1	4
142	в слове	6	4
143	с ними	5	4
144	и тем	1	4
145	в точном	2	4
146	о слове	7	4
147	в основном	4	4
148	чужого языка	6	4
149	что он	2	4
150	конечно не	5	4
151	только на	1	4
152	влияние на	2	4
153	той или	5	4
154	все эти	6	3
155	еще не	7	3
156	одно и	1	3
157	во всяком	3	3
158	в другом	2	3
159	мы сказали	2	3
160	идеологических систем	1	3
161	процесс становления	1	3
162	в двух	1	3
163	одной стороны	5	3
164	слово для	3	3
165	отсюда следует	1	3
166	для всего	1	3
167	истории языка	1	3
168	не было	2	3
169	слове и	2	3
170	сих пор	2	3
171	на материале	2	3
172	в какой	1	3
173	его и	2	3
174	оценки и	1	3
175	сознания и	1	3
176	всецело определяется	1	3
177	до сих	2	3
178	с другими	4	3
179	в своей	1	3
180	в чужую	1	3
181	установлен на	1	3
182	менее всего	2	3
183	слово и	5	3
184	быть именно	1	3
185	языкового сознания	7	3
186	одной из	1	3
187	конечно в	2	3
188	в корне	1	3
189	для понимания	1	3
190	с этим	2	3
191	что и	3	3
192	слова на	3	3
193	в этих	7	3
194	мысли и	1	3
195	за пределы	2	3
196	отличие от	13	3
197	в качестве	1	3
198	исторического становления	1	3
199	слов и	3	3
200	и от	3	3
201	по себе	5	3
202	да и	1	3
203	связано с	3	3
204	он не	2	3
205	языковых форм	1	3
206	в истории	11	3
207	должно быть	1	3
208	со всею	3	3
209	слово в	11	3
210	той же	3	3
211	в этой	1	3
212	могут быть	7	3
213	с одной	5	3
214	в отличие	12	3
215	характерно что	1	3
216	языка в	6	3
217	а в	4	3
218	громадное значение	2	3
219	в различных	2	3
220	о том	2	3
221	и до	1	3
222	язык не	4	3
223	в ней	3	3
224	чем же	1	3
225	с другой	5	3
226	оно может	2	3
227	же слова	1	3
228	нами в	1	3
229	что оно	4	3
230	языка не	4	3
231	и это	1	3
232	перед нами	3	3
233	и выражения	1	3
234	так как	4	3
235	речи а	1	3
236	в языковом	2	3
237	как от	1	2
238	то мы	1	2
239	одним из	2	2
240	из форм	1	2
241	и непосредственно	2	2
242	более глубокие	1	2
243	речевой жизни	1	2
244	приводит к	1	2
245	в значительной	6	2
246	не знает	2	2
247	слово является	1	2
248	категорий и	1	2
249	и с	9	2
250	которой мы	1	2
251	в собственном	3	2
252	место в	1	2
253	реплики диалога	1	2
254	идеологического творчества	3	2
255	можем сказать	1	2
256	или в	2	2
257	всем этим	2	2
