1	в том что	6	11
2	так или иначе	2	8
3	в отличие от	1	5
4	в то же	8	5
5	то же время	8	5
6	на наш взгляд	2	5
7	состоит в том	1	5
8	в связи с	3	4
9	не только в	2	4
10	в данном случае	1	4
11	в конечном счете	2	4
12	этой точки зрения	1	3
13	прежде всего в	1	3
14	с этой точки	1	3
15	в русской литературе	3	3
16	не сводится к	1	3
17	в этом отношении	3	2
18	с одной стороны	1	2
19	только в том	2	2
20	позиция уединенного сознания	1	2
21	но при этом	1	2
22	с точки зрения	3	2
23	что он один	1	2
24	несет в себе	3	2
25	тем не менее	3	2
26	не может игнорировать	1	2
27	друг для друга	3	2
28	дамы с собачкой	4	2
29	во всяком случае	1	2
30	по отношению к	8	2
31	все та же	1	2
32	для своего времени	2	2
33	факторов художественного впечатления	1	2
34	ту или иную	2	2
35	между я и	1	2
36	о том что	9	2
37	художественного мышления и	1	1
38	в финале рассказа	3	1
39	тут же прибавляет	1	1
40	xx века в	1	1
41	все той же	1	1
42	перед собой задачу	1	1
43	оказывается не столько	1	1
44	в равной степени	1	1
45	не только от	1	1
46	на первый взгляд	1	1
47	а также и	1	1
48	в заключительной фразе	1	1
49	в художественном мире	1	1
50	перед нами не	1	1
51	в равной мере	2	1
52	сюда же следует	1	1
53	человеческого я в	1	1
54	к себе самому	2	1
55	тогда как в	1	1
56	с самого начала	1	1
57	то что я	1	1
58	в этой связи	4	1
59	как уже говорилось	1	1
60	казалось бы но	1	1
61	том что он	1	1
62	только в качестве	1	1
63	одной из работ	1	1
64	отношения между людьми	1	1
65	но и от	1	1
66	в чеховской прозе	1	1
67	автора героя и	2	1
68	в себя и	1	1
69	в значительной степени	2	1
70	можно было бы	4	1
71	в первой главе	3	1
72	с той же	1	1
73	ничего общего с	1	1
74	в одной из	1	1
75	не может быть	2	1
76	в творчестве чехова	3	1
77	я и ты	2	1
78	и ему в	1	1
79	героя и читателя	3	1
80	в ответ на	1	1
81	или иную концепцию	1	1
82	во второй половине	2	1
83	для него в	1	1
84	как нам представляется	1	1
85	на самом деле	1	1
86	в самом деле	4	1
87	в свою очередь	1	1
88	зрелого чеховского рассказа	1	1
89	если говорить о	2	1
90	себе самому и	1	1
91	но все же	1	1
92	на том что	1	1
93	всего в том	1	1
94	в чистом виде	1	1
95	никогда не бывает	1	1
96	в русской культуре	1	1
97	объясняется на наш	1	1
98	на то что	2	1
99	пока еще не	1	1
100	это еще не	1	1
101	художественного письма это	1	1
102	но в то	3	1
103	же время не	1	1
104	в это время	1	1
105	не только на	1	1
106	только потому что	2	1
107	прежде всего это	1	1
108	и в этом	1	1
109	на вопрос что	1	1
110	мы узнаем о	1	1
111	при этом не	1	1
112	художественного впечатления бахтин	1	1
113	к чужому я	1	1
114	к тому чтобы	1	1
115	до сих пор	2	1
