N	2gram	Nazirov_Tv_2	Mirosoze
1	и в	20	46
2	у достоевского	30	34
3	в нем	3	22
4	у него	6	22
5	может быть	8	21
6	в этом	8	20
7	не только	13	18
8	и не	9	18
9	никогда не	11	18
10	для него	3	18
11	во имя	1	16
12	но и	8	15
13	не может	7	15
14	человека в	3	14
15	как и	6	13
16	ведет к	1	13
17	иван карамазов	7	13
18	а не	6	13
19	не есть	1	13
20	друг друга	2	12
21	прежде всего	8	12
22	потому что	7	12
23	и он	2	11
24	не было	2	11
25	но он	1	11
26	у нас	2	11
27	но в	4	10
28	в себе	3	10
29	он не	3	10
30	достоевский был	1	9
31	он был	1	9
32	не в	4	9
33	не знает	1	9
34	и есть	2	8
35	отношение к	1	8
36	и достоевский	4	8
37	на земле	1	8
38	любовь к	1	8
39	так как	3	8
40	она не	1	8
41	переходит в	1	8
42	в любви	1	8
43	человека к	1	8
44	как бы	11	8
45	но это	5	8
46	для достоевского	2	8
47	человека и	3	7
48	связана с	1	7
49	ивана карамазова	8	7
50	в мире	5	7
51	как в	4	7
52	и к	1	7
53	в этой	5	7
54	зла и	1	7
55	человеческой личности	2	7
56	любви к	3	7
57	и потому	4	7
58	и для	1	7
59	что он	6	7
60	муки совести	1	6
61	достоевского есть	1	6
62	что это	1	6
63	в бесах	6	6
64	в русской	2	6
65	он сам	3	6
66	и здесь	1	6
67	во власти	1	6
68	жизнь в	1	6
69	так же	5	6
70	по преимуществу	2	5
71	то же	7	5
72	достоевский раскрывает	1	5
73	я не	2	5
74	в самом	3	5
75	и вот	1	5
76	что она	4	5
77	что все	1	5
78	бога и	1	5
79	в своей	6	5
80	в конце	6	5
81	достоевский не	5	5
82	и его	9	5
83	к тому	1	5
84	и это	3	5
85	достоевского к	2	5
86	это не	7	5
87	один из	3	5
88	в его	10	5
89	то что	3	5
90	образ и	2	5
91	в духе	4	5
92	с его	1	4
93	на деле	1	4
94	думать что	1	4
95	чем у	1	4
96	в жизни	1	4
97	нет в	1	4
98	мити карамазова	1	4
99	том что	4	4
100	жизнь и	1	4
101	настасья филипповна	4	4
102	тому что	1	4
103	не имеет	1	4
104	перед ним	1	4
105	должен быть	1	4
106	что у	4	4
107	так и	6	4
108	означает что	1	4
109	в русском	1	4
110	себя в	2	4
111	уже не	3	4
112	что и	1	4
113	в свою	1	4
114	самого себя	1	4
115	в бога	1	4
116	что в	7	4
117	народ в	1	3
118	же как	3	3
119	это и	1	3
120	высшей степени	1	3
121	той же	1	3
122	и на	5	3
123	в чем	4	3
124	менее всего	1	3
125	достоевского не	8	3
126	творчество достоевского	4	3
127	идеи и	1	3
128	и она	1	3
129	в россии	2	3
130	в каждом	1	3
131	и с	8	3
132	в глубине	1	3
133	его в	3	3
134	ни в	1	3
135	в них	1	3
136	он же	2	3
137	в высшей	1	3
138	всю жизнь	1	3
139	и тогда	2	3
140	не мог	1	3
141	в такой	2	3
142	сам достоевский	1	3
143	для русского	1	3
144	и ивана	1	3
145	настасьей филипповной	1	3
146	его он	1	3
147	достоевский в	7	3
148	только с	2	3
149	достоевским в	2	3
150	в образе	3	3
151	достоевского о	1	3
152	если бы	4	3
153	с ним	3	3
154	и должно	1	3
155	о том	5	3
156	не стоит	2	3
157	самого достоевского	2	3
158	что они	4	3
159	к которой	1	3
160	в том	8	3
161	только в	2	3
162	не так	2	3
163	творчестве достоевского	4	3
164	но достоевский	2	3
165	и никогда	1	3
166	тем что	3	3
167	с другим	2	3
168	до сих	3	3
169	к которому	2	3
170	связано с	1	3
171	человек в	1	3
172	в подростке	1	3
173	настасью филипповну	1	3
174	нет ничего	3	3
175	в творчестве	5	3
176	не знал	2	3
177	бунт против	1	3
178	жизни в	3	3
179	и нет	1	3
180	сих пор	3	3
181	и от	4	3
182	человека для	1	3
183	природа человека	1	3
184	отношении к	1	3
185	сказать что	1	3
186	социализма и	1	3
187	в своих	3	3
188	и человек	1	3
189	великом инквизиторе	3	2
190	нем нет	1	2
191	от этой	2	2
192	достоевского в	9	2
193	поэтому он	1	2
194	лишь одна	1	2
195	и за	1	2
196	в сфере	1	2
197	из подполья	6	2
198	же что	1	2
199	не был	1	2
200	в дневнике	3	2
201	во всех	1	2
202	то он	1	2
203	к богу	1	2
204	по отношению	3	2
205	есть по	1	2
206	преступление и	2	2
207	в мысли	1	2
208	хотя и	4	2
209	говорит что	1	2
210	то в	1	2
211	в которой	2	2
212	по достоевскому	1	2
213	бы не	2	2
214	если он	5	2
