N	2gram	Berdyaev_M_2	VelikijI
1	великого инквизитора	4	36
2	во имя	16	32
3	великий инквизитор	1	31
4	и не	18	20
5	и в	46	16
6	свободы и	4	12
7	так как	8	9
8	то что	5	9
9	к богу	2	8
10	в пустыне	1	8
11	что они	3	7
12	на земле	8	7
13	а не	13	7
14	и потому	7	7
15	человека и	7	6
16	хлеба небесного	2	6
17	хлеба земного	6	6
18	меч кесаря	1	6
19	хлебом земным	1	6
20	не есть	13	6
21	великом инквизиторе	2	5
22	на себя	1	5
23	но и	15	5
24	того что	6	5
25	хотя и	2	5
26	в мире	7	5
27	в боге	4	5
28	бога и	5	5
29	все это	1	5
30	что есть	2	5
31	как бы	8	5
32	ты не	1	5
33	к небытию	2	4
34	и есть	8	4
35	в образе	3	4
36	говорить о	1	4
37	во мне	1	4
38	мира сего	3	4
39	добра и	5	4
40	в его	5	4
41	нет у	3	4
42	к личности	1	4
43	в этом	20	4
44	что он	7	4
45	потому что	12	4
46	сделать людей	1	4
47	земного и	4	4
48	о великом	2	4
49	в нем	22	4
50	так и	4	4
51	что все	5	4
52	свободы совести	1	4
53	вавилонской башни	2	4
54	что не	2	4
55	как и	13	4
56	смысла жизни	1	4
57	в котором	1	4
58	счастье людей	1	4
59	мировой жизни	1	4
60	в ней	11	4
61	великих и	1	4
62	в силах	1	4
63	и все	5	4
64	они будут	1	4
65	все что	4	4
66	от этого	2	3
67	и сильных	1	3
68	и что	2	3
69	должна быть	1	3
70	восстает против	3	3
71	счастья людей	1	3
72	к христу	1	3
73	хотя бы	7	3
74	как не	1	3
75	лишь в	2	3
76	в чем	3	3
77	с его	4	3
78	во всех	2	3
79	христа в	1	3
80	что и	4	3
81	ты отверг	1	3
82	необычайного гадательного	1	3
83	в том	3	3
84	тот же	2	3
85	но в	10	3
86	бы и	5	3
87	все эти	1	3
88	царством земным	1	3
89	в социализме	4	3
90	и вечной	1	3
91	и они	1	3
92	его во	1	3
93	они в	1	3
94	в конце	5	3
95	их в	1	3
96	тех которые	3	3
97	имя свободы	1	3
98	в своей	5	3
99	в жизни	4	3
100	не нужна	1	3
101	ни в	3	3
102	в них	3	3
103	не было	11	3
104	во христе	6	3
105	должно быть	2	3
106	в этих	2	3
107	нет ничего	3	3
108	есть соблазн	2	3
109	гадательного и	1	3
110	и против	3	3
111	не в	9	3
112	к чему	4	3
113	любовь к	8	3
114	тому что	4	3
115	людей во	2	3
116	но это	8	3
117	человечества и	1	3
118	в средство	2	3
119	не имеет	4	3
120	никогда не	18	3
121	личности и	2	3
122	свободы от	1	3
123	превращается в	2	3
124	и для	7	3
125	к тому	5	3
126	жизни и	6	3
127	что в	4	3
128	людей в	2	3
129	оно не	2	3
130	вне бога	1	3
131	а между	1	2
132	высшего достоинства	1	2
133	и это	5	2
134	нем нет	2	2
135	того чтобы	4	2
136	и то	1	2
137	лишь из	1	2
138	любовь не	7	2
139	от своей	2	2
140	верит в	2	2
141	и сам	1	2
142	можно было	2	2
143	и за	2	2
144	небытия и	1	2
145	его не	2	2
146	и неопределенного	1	2
147	мы не	1	2
148	когда в	1	2
149	как песок	1	2
150	земного царства	1	2
151	с ним	3	2
152	будет уже	1	2
153	и над	1	2
154	смысл мировой	1	2
155	в личности	1	2
156	ее и	2	2
157	и во	3	2
158	и хлеба	2	2
159	так для	1	2
160	два начала	2	2
161	к нам	1	2
162	между тем	2	2
163	ивана карамазова	7	2
164	нет и	1	2
165	вслед за	1	2
166	которые не	1	2
167	не с	1	2
168	человека как	1	2
169	государства и	1	2
170	его к	1	2
171	духа и	3	2
172	только в	3	2
173	личности а	1	2
174	те которые	3	2
175	и грех	1	2
176	имя счастья	2	2
177	абсолютного значения	1	2
178	смысл мира	2	2
179	совесть и	1	2
180	ничего и	1	2
181	уже не	4	2
182	не только	18	2
183	поступил как	1	2
184	его и	1	2
185	для человечества	2	2
186	не так	3	2
187	для него	18	2
188	не хотел	2	2
189	не к	2	2
190	в прошлом	1	2
191	не могли	1	2
192	под конец	1	2
193	и никогда	3	2
194	и вечно	1	2
195	кесаря и	1	2
196	своей свободы	3	2
197	людей не	1	2
198	вот почему	2	2
199	тем что	3	2
200	не будет	3	2
201	совести и	2	2
202	это не	5	2
203	камней в	2	2
204	о высшей	1	2
205	все царства	1	2
206	а с	1	2
207	в марксе	1	2
208	и люди	2	2
209	прежде всего	12	2
210	для них	1	2
211	люди не	1	2
212	все равно	3	2
213	с тем	1	2
214	один из	5	2
215	от государства	1	2
216	тысячу лет	1	2
217	для человека	3	2
218	познания добра	2	2
219	богу и	2	2
220	морской слабых	1	2
221	от свободы	3	2
222	и тогда	3	2
223	мира в	1	2
224	бога нет	1	2
225	эти люди	1	2
226	более чем	2	2
227	смысл жизни	1	2
228	не могут	1	2
229	не любя	1	2
230	вечность и	1	2
231	мир и	2	2
232	и отверг	1	2
233	самого себя	4	2
234	что было	3	2
235	да и	2	2
236	и вечности	1	2
237	и окончательное	1	2
238	о мы	1	2
239	в смысл	2	2
240	уж конечно	1	2
241	было еще	1	2
242	в бога	4	2
243	людей счастливыми	1	2
244	дар свободы	1	2
