N	3gram	Voloshinov_1	formyVre
1	с точки зрения	20	8
2	для того чтобы	3	7
3	в связи с	7	7
4	не только в	1	5
5	в то же	3	4
6	друг с другом	1	4
7	как мы уже	1	4
8	то же время	3	4
9	в том числе	2	3
10	в большинстве случаев	3	3
11	точки зрения не	2	3
12	и прежде всего	2	3
13	в том что	3	3
14	но и в	1	3
15	и должно быть	1	2
16	связи с этим	3	2
17	это значит что	1	2
18	в последнем счете	1	2
19	а следовательно и	1	2
20	прежде всего в	1	2
21	каждом из них	1	2
22	равно как и	1	2
23	может быть и	3	2
24	на первый план	2	2
25	лежит в основе	1	2
26	в этом случае	3	2
27	и та же	1	2
28	до сих пор	8	2
29	не было бы	1	2
30	в этом отношении	3	2
31	сами по себе	1	2
32	то же самое	3	2
33	одна и та	1	2
34	том числе и	2	2
35	друг от друга	1	2
36	очень важный момент	1	2
37	и в сущности	1	1
38	о каждом из	1	1
39	и в результате	1	1
40	не значит конечно	1	1
41	его жизни и	1	1
42	так сказать в	1	1
43	не выходит за	1	1
44	взятая в ее	1	1
45	хлеб и вино	1	1
46	и для него	1	1
47	быть и речи	2	1
48	и вопрос о	1	1
49	с одной стороны	1	1
50	мира и он	1	1
51	является не индивидуальное	1	1
52	и для самого	1	1
53	мы увидим дальше	1	1
54	обладает своей специфической	1	1
55	и так сказать	1	1
56	из этих форм	1	1
57	там нет и	1	1
58	рано или поздно	1	1
59	но в то	2	1
60	всего может быть	1	1
61	в точном смысле	1	1
62	своем чистом виде	1	1
63	громадное значение имеет	1	1
64	с другой стороны	5	1
65	этим определяется и	1	1
66	во всех случаях	1	1
67	таким образом и	1	1
68	но все же	3	1
69	в данном отношении	1	1
70	важно было показать	1	1
71	можно сказать что	3	1
72	в другом случае	1	1
73	они конечно не	1	1
74	к тому что	1	1
75	и того же	5	1
76	но менее всего	1	1
77	с самого начала	4	1
78	и пр и	2	1
79	тот или иной	1	1
80	и как бы	1	1
81	в тот же	1	1
82	здесь в этом	1	1
83	как мы видели	1	1
84	этой точки зрения	1	1
85	там где они	1	1
86	он ни был	1	1
87	на самом деле	1	1
88	дело идет о	1	1
89	и в нем	1	1
90	значит конечно что	1	1
91	связи с тем	1	1
92	имеют громадное значение	1	1
93	вместо того чтобы	1	1
94	могут быть сведены	1	1
95	исторического времени с	1	1
96	в широком смысле	1	1
97	в пределах индивидуального	2	1
98	одного и того	5	1
99	той или иной	1	1
100	одну из этих	1	1
101	все разобранные нами	1	1
102	с другом и	1	1
103	с тем что	1	1
104	не переставая быть	1	1
105	как и во	1	1
106	есть прежде всего	1	1
107	между словом и	1	1
108	и в большинстве	1	1
109	все более и	1	1
110	не может быть	13	1
111	в своем чистом	1	1
112	только с помощью	1	1
113	в xviii веке	1	1
114	в конце концов	3	1
115	со всех сторон	2	1
116	но при этом	2	1
117	и в другом	1	1
118	выходит за пределы	1	1
119	с двух сторон	1	1
120	пр и пр	2	1
121	с этой точки	1	1
122	сводится к тому	2	1
123	как и все	2	1
124	с установкой на	2	1
125	как мы увидим	1	1
126	рядом с этим	1	1
127	том что он	1	1
128	в отличие от	5	1
129	прежде всего необходимо	1	1
130	это не значит	1	1
131	именно в том	1	1
132	в свою очередь	2	1
133	по аналогии с	1	1
134	как бы ни	1	1
135	он не знает	1	1
136	это вовсе не	1	1
137	более и более	1	1
