N	2gram	Trubetskoy_1	Istorich
1	что он	7	24
2	не только	7	18
3	может быть	16	17
4	и в	23	15
5	никогда не	4	15
6	так как	7	14
7	но и	9	14
8	так же	8	13
9	знаем что	8	12
10	что в	8	12
11	то что	18	12
12	а в	3	12
13	в этом	12	11
14	в этих	3	11
15	мы знаем	10	11
16	и не	8	11
17	то же	4	10
18	что они	2	10
19	его в	5	10
20	еще не	5	9
21	все же	13	9
22	в другом	2	9
23	с тем	2	9
24	потому что	9	9
25	он не	3	8
26	связи с	4	8
27	один из	1	8
28	очень много	3	8
29	мы можем	6	8
30	мы видим	1	8
31	в нем	3	7
32	таким образом	31	7
33	том что	19	7
34	не в	8	7
35	ничего не	1	7
36	и пр	1	7
37	вместе с	6	7
38	сих пор	8	7
39	то это	1	6
40	но в	4	6
41	что это	5	6
42	и что	8	6
43	в его	5	6
44	что и	7	6
45	мы уже	4	6
46	так что	5	6
47	до сих	8	6
48	наряду с	1	6
49	как бы	10	6
50	в том	30	6
51	только в	6	6
52	точно так	1	6
53	же как	3	5
54	как в	1	5
55	с этим	11	5
56	и наконец	3	5
57	что она	1	5
58	но все	5	5
59	было бы	3	5
60	этого не	1	5
61	можно найти	1	5
62	в котором	2	5
63	на него	2	5
64	видим что	1	5
65	что при	6	5
66	можно было	1	5
67	так и	10	5
68	говорят что	1	5
69	она не	2	5
70	к нему	2	5
71	прежде всего	3	5
72	к которому	1	5
73	а не	1	5
74	в связи	3	5
75	не может	17	5
76	этом случае	4	5
77	к тому	8	5
78	на куски	1	4
79	что эти	2	4
80	в ней	3	4
81	и на	6	4
82	только после	1	4
83	в себе	5	4
84	все эти	19	4
85	в этой	6	4
86	при этом	9	4
87	после этого	1	4
88	они должны	3	4
89	и с	5	4
90	вопрос о	3	4
91	того как	1	4
92	для нас	3	4
93	другими словами	2	4
94	в другой	1	4
95	с одной	3	4
96	у него	5	4
97	тем что	1	4
98	а потом	1	4
99	мы должны	4	4
100	и другие	1	4
101	они не	2	4
102	мы не	1	3
103	не происходит	1	3
104	не совсем	1	3
105	видели что	1	3
106	увидим что	1	3
107	он в	1	3
108	из этих	8	3
109	на то	9	3
110	всех этих	4	3
111	здесь мы	1	3
112	уже знаем	1	3
113	он и	1	3
114	в их	4	3
115	когда она	1	3
116	выше мы	4	3
117	свет на	1	3
118	что этот	1	3
119	стоит в	1	3
120	я буду	1	3
121	и его	1	3
122	как будто	5	3
123	и это	3	3
124	но по	3	3
125	в себя	2	3
126	так в	1	3
127	роль в	1	3
128	о том	7	3
129	раньше чем	1	3
130	а именно	1	3
131	если это	2	3
132	того что	6	3
133	в качестве	1	3
134	же и	1	3
135	по отношению	9	3
136	в состоянии	4	3
137	в других	1	3
138	одной стороны	2	3
139	что мы	4	3
140	эти слова	1	3
141	все это	11	3
142	между прочим	2	3
143	но если	2	3
144	отношению к	9	3
145	в силе	1	2
146	например в	1	2
147	самом деле	12	2
148	на самом	7	2
149	к таким	2	2
150	в состояние	1	2
151	и для	6	2
152	в сущности	2	2
153	я не	2	2
154	ни один	3	2
155	хотя бы	4	2
156	и то	4	2
157	в которых	2	2
158	иное как	1	2
159	во всех	10	2
160	но не	2	2
161	перед нами	1	2
162	есть ли	1	2
163	в которой	5	2
164	возможно что	1	2
165	тому же	6	2
166	не могла	1	2
167	на его	1	2
168	главным образом	1	2
169	и социальной	2	2
170	он должен	2	2
171	состоит в	1	2
172	в силу	7	2
173	и если	6	2
174	из него	2	2
175	и по	3	2
176	а затем	2	2
177	и может	3	2
178	из них	5	2
179	той же	1	2
180	на этой	2	2
181	с другими	1	2
182	это не	3	2
183	чтобы узнать	1	2
184	в жизни	3	2
185	она и	1	2
186	как и	9	2
187	мы видели	2	2
188	такой же	2	2
189	в эту	2	2
190	и ее	2	2
191	представление о	3	2
192	и эти	1	2
193	и более	2	2
194	их в	2	2
195	случае мы	1	2
196	тем самым	3	2
197	с которой	1	2
198	самого начала	1	2
199	одна из	2	2
200	уже очень	1	2
201	тогда и	1	2
202	иметь в	1	2
203	на котором	1	2
204	другой стороны	5	2
205	вместо того	1	2
206	кроме того	1	2
207	только с	1	2
208	могут быть	1	2
209	непонятными и	1	2
210	того чтобы	8	2
211	с ее	2	2
212	в виду	2	2
213	здесь не	1	2
214	совершенно ясно	2	2
215	с самого	1	2
216	говорили что	1	2
217	приводит к	1	2
218	что у	2	2
219	на нее	2	2
220	же эти	1	2
221	часто в	1	2
222	что под	2	2
223	одно из	3	2
224	в разных	3	2
225	находится в	1	2
226	другом месте	1	2
227	на вопрос	4	2
228	всмотреться в	1	2
229	с другой	6	2
230	что эта	4	2
231	перед этими	1	2
232	к ней	1	2
233	оказывается что	5	2
234	что этому	1	2
235	на которой	1	2
236	но с	2	2
237	с ними	2	2
238	и так	2	2
239	проникнуть в	1	2
240	уже в	1	2
241	в нашей	1	2
242	а то	1	2
243	при помощи	3	2
244	и их	5	2
245	заметить что	1	2
246	и только	2	2
247	не было	2	2
248	о своей	1	2
249	и из	2	2
250	не раньше	1	2
251	именно в	5	2
252	случаев в	1	2
253	а с	4	2
254	себя и	2	2
255	зависит от	1	2
256	нет ничего	1	2
257	смысле этого	1	2
258	в тех	3	2
259	в тот	1	2
260	да и	1	2
261	по существу	6	2
262	показывают что	2	2
263	и часто	1	2
264	много но	1	2
265	то не	1	2
266	будто бы	1	2
267	не знает	2	2
268	сказать что	1	2
269	ее в	1	2
270	и наиболее	1	1
271	и понимает	1	1
272	он может	1	1
273	народов у	1	1
274	это и	1	1
275	ко всем	3	1
276	права и	1	1
277	из его	1	1
278	оно было	1	1
279	высшей степени	1	1
280	в зависимости	1	1
281	по его	2	1
282	она к	1	1
283	а как	1	1
284	есть не	1	1
285	говорит за	1	1
286	нога в	2	1
287	теперь мы	2	1
288	в семье	1	1
289	из своих	1	1
290	имеет свою	1	1
291	этом не	1	1
292	так чтобы	2	1
293	говорить о	2	1
294	на себя	1	1
295	похожи на	1	1
296	же что	2	1
297	другое обстоятельство	1	1
298	зависимости от	1	1
299	надо иметь	1	1
300	он сам	1	1
301	что его	4	1
302	с его	1	1
303	эти вещи	1	1
304	тем как	1	1
305	будут сделаны	1	1
306	должна была	1	1
307	но как	2	1
308	а только	1	1
309	не то	3	1
310	к которой	3	1
311	только при	2	1
312	в сторону	2	1
313	отличие от	3	1
314	из таких	2	1
315	отнюдь не	2	1
316	в истории	3	1
317	тем больше	1	1
318	в центре	1	1
319	в течение	4	1
320	как к	5	1
321	однако не	1	1
322	и той	1	1
323	и где	2	1
324	он признает	1	1
325	и как	1	1
326	что по	3	1
327	и к	5	1
328	ясно показывают	1	1
329	от этого	1	1
330	в этот	1	1
331	впечатление что	1	1
332	со своей	1	1
333	они так	1	1
334	в целом	5	1
335	так или	5	1
336	этих существ	1	1
337	еще один	1	1
338	другом случае	1	1
339	друг от	6	1
340	но на	2	1
341	это представление	3	1
342	как оно	1	1
343	он все	2	1
344	раз когда	1	1
345	такие люди	1	1
346	естественно поэтому	3	1
347	на земле	3	1
348	несколько ниже	1	1
349	но вместе	1	1
350	одной и	2	1
351	что ни	1	1
352	же остается	1	1
353	не будет	5	1
354	хочет чтобы	1	1
355	за то	1	1
356	в совершенно	3	1
357	что такой	1	1
358	имелись в	1	1
359	для своей	1	1
360	входит в	1	1
361	это было	1	1
362	при встрече	1	1
363	чтобы все	3	1
364	который и	1	1
365	а это	2	1
366	в них	2	1
367	на второй	1	1
368	в высшей	1	1
369	далеко не	5	1
370	это впечатление	2	1
371	несмотря на	6	1
372	к своему	1	1
373	и некоторые	2	1
374	зато в	1	1
375	не будут	2	1
376	бы на	1	1
377	в своей	1	1
378	что такое	1	1
379	это делает	1	1
380	попасть в	1	1
381	на ступени	1	1
382	не подлежит	3	1
383	еще нет	1	1
384	его мнению	1	1
385	к одному	1	1
386	которые должны	1	1
387	весь ход	1	1
388	эта не	1	1
389	можем сделать	1	1
390	наконец как	1	1
391	над всеми	2	1
392	тем не	4	1
393	надо сказать	1	1
394	а а	1	1
395	с такими	1	1
396	даже в	3	1
397	освободиться от	2	1
398	других народов	5	1
399	вещи не	1	1
400	не менее	7	1
401	как о	1	1
402	это нам	1	1
403	что их	3	1
404	в науке	1	1
405	в то	6	1
406	к этим	1	1
407	быть поставлены	1	1
408	подошел к	1	1
409	связанными с	1	1
410	только не	2	1
411	верно то	2	1
412	этого явления	2	1
413	этих двух	2	1
414	самую жалкую	1	1
415	все члены	1	1
416	во всем	3	1
417	ему и	2	1
418	мы бы	1	1
419	в процессе	2	1
420	не вполне	3	1
421	именно потому	2	1
422	что на	1	1
423	их от	1	1
424	тех случаях	1	1
425	с другом	9	1
426	и со	1	1
427	у нас	3	1
428	только мы	2	1
429	и оно	1	1
430	со стороны	1	1
431	если он	2	1
432	не могут	4	1
433	в народных	1	1
434	на путь	1	1
435	в эти	3	1
436	как человек	1	1
437	они и	1	1
438	если же	3	1
439	приходит к	1	1
440	из всего	1	1
441	как мы	2	1
442	от друга	6	1
443	без всякого	1	1
444	тогда как	6	1
445	факт не	1	1
446	быть вполне	2	1
447	чтобы быть	2	1
448	в дальнейшем	2	1
449	идет речь	8	1
450	стоят в	2	1
451	то станет	1	1
452	натуры не	1	1
453	иногда в	1	1
454	к тем	2	1
455	задний план	1	1
456	от начала	1	1
457	о котором	7	1
458	это может	2	1
459	с ним	6	1
460	образом в	3	1
461	сводится к	2	1
462	и русской	1	1
463	время в	1	1
464	для европейца	2	1
465	ее и	3	1
466	связанной с	1	1
467	с каким-нибудь	1	1
468	образом мы	1	1
469	от него	3	1
470	все в	2	1
471	связь между	1	1
472	или иначе	5	1
473	вся эта	1	1
474	этому поводу	1	1
475	видели выше	1	1
476	и подобных	1	1
477	следить за	1	1
478	остается при	1	1
479	и следовательно	1	1
480	в частности	2	1
481	быть и	5	1
482	но так	2	1
483	себе еще	1	1
484	приведенных выше	1	1
485	идет по	1	1
486	тот же	3	1
487	этот вопрос	2	1
488	на природу	1	1
489	к их	1	1
490	должен быть	1	1
491	этих народов	4	1
492	по этому	2	1
493	с которыми	2	1
494	для всех	1	1
495	рассматриваться как	3	1
496	всем мире	1	1
497	уже не	1	1
498	если мы	4	1
499	только на	1	1
500	свидетельствует о	1	1
501	к результату	1	1
502	на этих	1	1
503	у австралийцев	1	1
504	и других	2	1
505	за ним	1	1
506	то они	3	1
507	никто не	2	1
508	в прошлом	1	1
509	вовсе не	2	1
510	друг друга	2	1
511	тому времени	1	1
512	много и	1	1
513	социальная жизнь	1	1
514	каждый из	3	1
515	она имеет	1	1
516	то сразу	1	1
517	ясно показывает	1	1
518	в семью	1	1
519	ее на	1	1
520	параллельно с	1	1
521	такие которые	1	1
522	которое на	1	1
523	может рассматриваться	1	1
524	именно как	1	1
525	не были	1	1
526	ней и	1	1
527	связаны с	1	1
528	будет ли	1	1
529	и между	1	1
530	животные в	1	1
531	чтобы я	1	1
532	в общей	2	1
533	только по	1	1
534	а на	1	1
535	здесь дело	1	1
536	а сам	1	1
537	на которых	1	1
538	до конца	1	1
539	ничем не	4	1
540	одну из	1	1
541	мы поймем	1	1
542	в одно	2	1
543	не осталось	1	1
544	и потому	3	1
545	в европе	6	1
546	должен относиться	1	1
547	а так	1	1
548	по своему	5	1
549	к жизни	1	1
550	что за	2	1
551	а если	1	1
552	чем в	3	1
553	друг с	9	1
554	приобщиться к	2	1
555	что же	2	1
556	остается в	1	1
557	действительно так	1	1
558	человек с	1	1
559	даже та	1	1
560	мыслится как	1	1
561	быть не	1	1
562	эту черту	2	1
563	этого слова	2	1
564	с этой	3	1
565	на пути	1	1
566	поэтому что	4	1
567	можно назвать	3	1
568	в более	1	1
569	затем уже	1	1
570	случаях когда	3	1
571	не знаем	1	1
572	ли в	1	1
573	при таком	2	1
574	на задний	1	1
575	в результате	9	1
576	но когда	1	1
577	у них	6	1
578	бы он	1	1
579	существенную черту	1	1
580	еще более	1	1
581	ноги и	1	1
582	наоборот все	1	1
583	все они	5	1
584	на более	2	1
585	люди которые	1	1
586	по пути	1	1
587	и вдруг	1	1
588	его к	1	1
589	в свою	2	1
590	по одному	3	1
591	слагается из	3	1
592	переход из	1	1
593	из этого	6	1
594	в самом	8	1
595	самое что	1	1
596	родину и	1	1
597	и состоит	2	1
598	но еще	1	1
599	а может	1	1
600	очень редко	1	1
601	и эта	1	1
602	к этому	5	1
603	в таком	4	1
