N	2gram	Medvedev_I_1	Psycholo
1	и в	1	30
2	что в	2	24
3	того чтобы	1	20
4	для того	1	20
5	в этом	2	14
6	если бы	1	11
7	никогда не	1	9
8	с другой	1	9
9	того что	1	8
10	в основе	1	7
11	тем что	1	6
12	и не	2	6
13	жизни и	1	6
14	в целом	1	5
15	а с	1	5
16	бы в	1	5
17	другой стороны	1	5
18	как только	1	4
19	в них	1	4
20	только что	1	4
21	а в	1	4
22	и о	1	3
23	он не	2	3
24	что при	1	3
25	так и	1	3
26	для него	1	3
27	по поводу	1	3
28	того же	1	2
29	всю трагедию	1	2
30	по отношению	1	2
31	очевидно что	1	2
32	следующим образом	1	2
33	все эти	1	2
34	и с	3	2
35	с героем	1	2
36	утверждает что	1	2
37	есть только	1	2
38	должен быть	2	2
39	ничего не	2	2
40	и та	1	2
41	стороны он	1	2
42	не дает	1	2
43	по существу	1	2
44	все это	1	2
45	бы его	1	2
46	следовательно в	1	1
47	для других	1	1
48	значительной мере	1	1
49	в художественном	1	1
50	от этого	1	1
51	за границей	1	1
52	и тот	1	1
53	братья карамазовы	1	1
54	от нее	1	1
55	в эту	1	1
56	доказательство того	1	1
57	и очень	1	1
58	вплоть до	1	1
59	на котором	1	1
60	не смерть	1	1
61	доказать что	1	1
62	бы что	2	1
63	во многом	1	1
64	каждый исследователь	1	1
65	автор не	1	1
66	в значительной	1	1
67	не так	1	1
68	себя в	1	1
69	могло бы	1	1
70	произведения и	1	1
71	в руки	1	1
72	что ленский	1	1
73	и др	1	1
74	что для	1	1
75	стало быть	1	1
76	слишком много	1	1
77	ненависть к	1	1
78	только для	1	1
79	точно и	1	1
80	своего исследования	1	1
81	но когда	1	1
82	отношению к	1	1
