N	2gram	Vinokur_Vv_1	Stilisti
1	и в	27	42
2	не только	21	27
3	как бы	5	27
4	и т.п	1	24
5	прежде всего	8	22
6	и т.д	4	20
7	хотя бы	5	17
8	то же	8	15
9	но и	5	15
10	и не	13	14
11	не может	13	12
12	может быть	24	12
13	мы уже	1	11
14	как и	5	11
15	точки зрения	7	11
16	в этом	34	10
17	и как	9	10
18	как мы	9	10
19	мы должны	1	10
20	что мы	2	10
21	мы не	2	9
22	при этом	3	9
23	в то	5	9
24	для того	21	9
25	общественной жизни	1	9
26	то что	17	9
27	в ней	3	8
28	все же	8	8
29	в себе	4	8
30	таким образом	19	8
31	и это	6	8
32	с тем	6	8
33	что же	3	8
34	в зависимости	1	7
35	зависимости от	1	7
36	и на	3	7
37	в которой	1	7
38	было бы	5	7
39	и тем	5	7
40	так как	13	7
41	никогда не	3	7
42	же время	5	7
43	потому что	14	7
44	того чтобы	21	7
45	ничего не	2	7
46	только в	13	7
47	и его	5	7
48	мы можем	2	7
49	а не	3	7
50	и от	1	7
51	во всех	2	6
52	точку зрения	1	6
53	в этой	3	6
54	но ведь	4	6
55	на его	1	6
56	в нем	13	6
57	не в	8	6
58	или как	3	6
59	в области	4	6
60	когда мы	2	6
61	так и	1	6
62	другими словами	1	6
63	язык и	3	6
64	в форме	2	6
65	язык в	1	6
66	и так	1	6
67	в конце	3	6
68	или иной	1	6
69	в свою	1	6
70	той же	4	5
71	уже в	5	5
72	в той	7	5
73	независимо от	3	5
74	одно и	1	5
75	и с	2	5
76	того или	1	5
77	же мы	1	5
78	мы видели	2	5
79	с точки	2	5
80	и той	2	5
81	тому что	2	5
82	а в	5	5
83	же самое	2	5
84	в его	10	5
85	и является	1	5
86	слова в	1	5
87	с помощью	1	5
88	вместе с	6	5
89	как это	5	5
90	слова и	1	5
91	т.д и	1	5
92	или иного	1	5
93	и то	5	4
94	самом деле	6	4
95	или иную	1	4
96	мы называем	2	4
97	слово не	1	4
98	себя в	2	4
99	что именно	2	4
100	и к	1	4
101	но в	10	4
102	в самом	12	4
103	что это	3	4
104	так сказать	1	4
105	уже не	5	4
106	можно было	7	4
107	в каждом	4	4
108	его в	6	4
109	ту или	1	4
110	и без	2	4
111	самого начала	1	4
112	у нас	2	4
113	но все	3	4
114	всего в	1	4
115	так называемые	1	4
116	к тому	4	4
117	той или	1	4
118	свою очередь	1	4
119	языка и	12	4
120	с самого	1	4
121	если бы	2	4
122	о том	15	4
123	можно сказать	3	4
124	все время	1	4
125	того что	12	4
126	один из	6	4
127	мы видим	1	4
128	в качестве	7	4
129	вопроса о	1	4
130	само собой	2	4
131	были бы	1	4
132	не просто	4	4
133	не что	4	4
134	все это	6	4
135	не существует	2	4
136	бы в	1	4
137	того времени	1	4
138	так же	3	4
139	долгое время	1	3
140	вряд ли	2	3
141	отношения к	1	3
142	на самом	1	3
143	слова о	1	3
144	еще не	4	3
145	ответ на	3	3
146	нет и	1	3
147	или иное	1	3
148	хотя и	3	3
149	та же	1	3
150	выражение в	1	3
151	если он	1	3
152	вследствие этого	1	3
153	не к	2	3
154	и вот	3	3
155	языком и	1	3
156	заключает в	1	3
157	об этом	5	3
158	лишь в	1	3
159	это не	8	3
160	чаще всего	1	3
161	ведь в	1	3
162	не мог	2	3
163	том что	26	3
164	что такое	10	3
165	общий смысл	1	3
166	в разных	5	3
167	слова как	2	3
168	в какой-нибудь	1	3
169	связь и	1	3
170	связи с	3	3
171	до того	2	3
172	деятельности и	2	3
173	да и	4	3
174	слова но	1	3
175	что оно	2	3
176	в виду	4	3
177	в ее	11	3
178	то или	1	3
179	что у	1	3
180	во второй	3	3
181	короче говоря	1	3
182	должно было	1	3
183	связь между	4	3
184	нуждается в	2	3
185	то мы	1	3
186	жизни и	2	3
187	только на	3	3
188	из них	3	3
189	его и	1	3
190	представить себе	5	3
191	в котором	4	3
192	в одном	4	3
193	содержание и	1	3
194	но что	3	3
195	свое выражение	3	3
196	от того	3	3
197	что и	3	3
198	и даже	5	3
199	и эта	1	3
200	конце концов	2	3
201	так называемой	3	3
202	и уже	3	3
203	если не	1	3
204	в тех	2	3
205	этого слова	2	3
206	как только	1	3
207	этом случае	6	3
208	в целом	5	3
209	как предмет	1	3
210	в начале	3	3
211	но для	1	3
212	тех или	3	3
213	и для	4	3
214	и все	1	3
215	главным образом	1	3
216	о своем	1	3
217	между ними	2	3
218	сказать что	5	3
219	я и	1	2
220	также и	16	2
221	человека и	1	2
222	что эти	1	2
223	в какой-то	1	2
224	мы имеем	3	2
