N	2gram	Losev_Dial_2	EvropaiE
1	и в	19	37
2	точки зрения	12	23
3	что в	7	21
4	не только	19	18
5	с точки	8	17
6	в то	6	16
7	то же	12	15
8	хотя бы	4	15
9	в своем	4	14
10	но в	2	14
11	же время	5	14
12	но и	12	14
13	и не	30	14
14	в этом	8	12
15	в их	2	11
16	в области	2	11
17	в том	14	11
18	так и	10	10
19	отнюдь не	6	9
20	в себе	15	9
21	только в	5	9
22	прежде всего	8	9
23	все более	1	9
24	не может	9	9
25	так же	2	9
26	т е	30	9
27	в смысле	5	9
28	в ее	4	8
29	было бы	3	8
30	в своей	8	8
31	к тому	2	8
32	между тем	2	8
33	с одной	2	8
34	одной стороны	1	8
35	также и	2	7
36	того что	6	7
37	так как	14	7
38	с другой	5	7
39	как и	10	7
40	по своему	5	7
41	может быть	20	6
42	и на	1	6
43	во всех	2	6
44	стороны и	1	6
45	на то	1	6
46	том что	10	6
47	вовсе не	13	6
48	и даже	14	6
49	как бы	14	6
50	с этой	1	6
51	то что	14	6
52	же как	3	5
53	которую мы	1	5
54	но не	6	5
55	не в	8	5
56	и по	4	5
57	но если	1	5
58	как мы	3	5
59	в виде	2	5
60	от этого	3	5
61	в частности	2	5
62	и потому	5	5
63	в той	3	5
64	то в	1	4
65	мы не	1	4
66	вопрос о	3	4
67	но даже	1	4
68	в некотором	1	4
69	в ней	2	4
70	независимо от	4	4
71	в самом	5	4
72	во многих	1	4
73	то ни	1	4
74	того или	2	4
75	несмотря на	2	4
76	чем в	1	4
77	в предыдущем	1	4
78	даже в	3	4
79	не имеет	1	4
80	и притом	7	4
81	той или	4	4
82	бы то	1	4
83	по себе	18	4
84	можно сказать	5	4
85	тем более	1	4
86	именно в	2	4
87	само по	2	4
88	или иной	1	4
89	не на	2	4
90	как это	7	4
91	сказать что	10	4
92	или иного	1	4
93	в каком	4	4
94	в сфере	2	3
95	идет о	1	3
96	бы и	2	3
97	того же	1	3
98	время в	1	3
99	в общем	2	3
100	как в	2	3
101	когда он	1	3
102	и к	7	3
103	себе не	3	3
104	или иную	1	3
105	но на	1	3
106	вообще не	1	3
107	в определенном	2	3
108	мы можем	1	3
109	не будет	2	3
110	и мы	3	3
111	этом смысле	1	3
112	и тем	1	3
113	в них	1	3
114	с тем	2	3
115	она в	1	3
116	можно ли	3	3
117	нельзя ли	2	3
118	никогда не	9	3
119	потому что	14	3
120	уже и	2	3
121	ли это	1	3
122	с другом	1	3
123	во все	2	3
124	бы ни	2	3
125	о том	5	3
126	от них	1	3
127	что и	5	3
128	и только	4	3
129	всяком случае	2	3
130	из них	3	3
131	ту или	1	3
132	очевидно что	2	3
133	в прошлом	1	3
134	к ним	1	3
135	тем что	2	3
136	этом отношении	1	3
137	некотором смысле	1	3
138	и прежде	2	3
139	говорит о	1	3
140	связано с	1	3
141	там где	1	3
142	ни на	2	3
143	в данном	3	3
144	друг с	1	3
145	и от	3	3
146	в результате	2	3
147	мира и	1	3
148	на своем	1	3
149	ее в	2	3
150	как на	1	3
151	в таком	4	3
152	во всяком	2	3
153	и отчасти	1	2
154	и то	7	2
155	по преимуществу	1	2
156	что эти	2	2
157	ведь и	1	2
158	должна быть	5	2
159	есть не	7	2
160	что если	3	2
161	на них	1	2
162	он сам	1	2
163	но как	5	2
164	точка зрения	1	2
165	в истории	2	2
166	его на	1	2
167	поскольку они	1	2
168	с этим	3	2
169	и как	10	2
170	если брать	2	2
171	есть ли	5	2
172	что это	10	2
173	чем больше	1	2
174	в этой	3	2
175	и если	4	2
176	как оно	1	2
177	главным образом	1	2
178	он не	4	2
179	и еще	1	2
180	в силу	5	2
181	их из	2	2
182	таким образом	4	2
183	это значит	8	2
184	в мире	2	2
185	и с	5	2
186	заключается в	4	2
187	и творчества	1	2
188	далеко не	1	2
189	нас к	1	2
190	в своих	2	2
191	одна и	4	2
192	видим как	1	2
193	в эту	1	2
194	в этих	3	2
195	и сейчас	1	2
196	или точнее	3	2
197	в котором	1	2
198	не к	1	2
199	или вернее	1	2
200	и более	3	2
