N	2gram	Tiupa_Anal_3	RusskieA
1	и в	18	29
2	что в	9	22
3	в том	9	22
4	том что	12	22
5	в поле	1	19
6	как бы	10	18
7	состоит в	4	15
8	и другие	1	14
9	может быть	9	13
10	как и	14	11
11	в этом	14	11
12	одна из	2	11
13	все это	3	10
14	не только	22	10
15	во многих	1	9
16	а в	10	9
17	о том	6	9
18	а а	5	8
19	его в	3	8
20	но и	13	8
21	ее в	1	8
22	данном случае	3	7
23	как в	3	7
24	еще не	6	6
25	на ивана	1	6
26	таким образом	4	6
27	мы не	3	6
28	того чтобы	1	6
29	с тем	2	6
30	вместе с	2	6
31	этом случае	1	6
32	и на	4	6
33	для того	1	6
34	мы имеем	5	6
35	при этом	11	6
36	же в	2	6
37	в данном	4	6
38	для этого	1	5
39	не может	2	5
40	но не	7	5
41	к жизни	3	5
42	потому что	1	5
43	это не	2	5
44	то что	2	5
45	будто бы	1	5
46	но в	2	5
47	к этому	3	5
48	что по	4	4
49	вопрос о	1	4
50	и все	2	4
51	не в	6	4
52	так что	1	4
53	как это	3	4
54	именно в	3	4
55	в таком	1	4
56	а затем	1	4
57	то же	3	4
58	у нас	1	4
59	а за	1	4
60	не все	1	4
61	о чем	4	4
62	на них	1	4
63	уже не	5	4
64	в них	2	4
65	далеко не	4	4
66	а также	2	4
67	а не	9	4
68	все эти	2	3
69	как мы	1	3
70	в качестве	12	3
71	чтобы на	1	3
72	связь с	2	3
73	в этой	6	3
74	подобно тому	3	3
75	во всех	2	3
76	в эту	1	3
77	или даже	1	3
78	в году	3	3
79	а именно	1	3
80	в ее	3	3
81	но если	1	3
82	между тем	5	3
83	было бы	3	3
84	нас к	1	3
85	не будем	1	3
86	отличие от	2	3
87	с другими	1	3
88	связаны с	1	3
89	и от	2	3
90	и о	1	3
91	тем что	2	3
92	тому как	2	3
93	не всегда	3	3
94	или с	1	3
95	того что	1	3
96	живет в	1	3
97	в отличие	2	3
98	что она	2	3
99	должно было	1	3
100	и по	2	3
101	каждый из	1	2
102	когда мы	2	2
103	в форме	2	2
104	из этих	3	2
105	тогда как	20	2
106	через него	1	2
