N	3gram	Medvedev_U_1	Myshleni
1	в том что	2	31
2	с одной стороны	1	9
3	в этом смысле	2	8
4	с другой стороны	3	8
5	друг с другом	1	7
6	то же самое	2	7
7	в этом отношении	2	7
8	на каждом шагу	2	6
9	в самом деле	2	6
10	на первый план	1	4
11	в первую очередь	1	4
12	и то что	2	4
13	на то что	1	4
14	в этом случае	1	3
15	с тем что	1	3
16	не могут быть	2	2
17	в этой области	3	2
18	по нашему мнению	3	2
19	и не только	1	2
20	в данном случае	1	2
21	может быть в	1	1
22	мы полагаем что	1	1
23	не может быть	4	1
24	они относятся к	1	1
25	бы то ни	3	1
26	таким образом на	1	1
27	и в частности	2	1
28	поставить знак равенства	1	1
29	можно сказать что	1	1
30	он может быть	1	1
31	в конце концов	2	1
32	равно как и	1	1
33	понятий с другой	1	1
34	знак равенства между	1	1
35	до сих пор	2	1
36	верно и то	1	1
37	в той же	1	1
38	нам думается что	1	1
39	в своей совокупности	1	1
40	не только в	1	1
41	все же не	1	1
42	оно все же	1	1
43	все это в	1	1
44	не входит в	1	1
45	тех или иных	2	1
46	само по себе	1	1
47	с другом не	1	1
48	не только к	1	1
49	но даже и	2	1
50	то ни было	3	1
