N	4gram	Losev_Prob_1	Stilisti
1	одно и то же	1	4
2	и в то же	1	2
3	не что иное как	2	2
4	между внутренней и внешней	1	2
5	то же самое время	4	2
6	но для того чтобы	1	2
7	но в то же	1	2
8	в связи с этим	1	2
9	есть не что иное	2	2
10	в то же самое	4	2
11	к окружающей нас действительности	1	1
12	то что мы в	1	1
13	одного и того же	2	1
14	уже содержит в себе	1	1
15	о том что такое	1	1
16	серп и молот являются	1	1
17	как мы увидим ниже	2	1
18	можно было бы говорить	1	1
19	ни на один из	1	1
20	но даже и в	1	1
21	сколько бы мы ни	1	1
22	не говоря уже об	1	1
23	вещи и как мы	1	1
24	то же самое и	1	1
25	не говоря ни слова	1	1
26	мы уже видели что	1	1
27	одним и тем же	1	1
