N	3gram	Savitsky_P_1	Myslijsy
1	в том что	4	16
2	заключает в себе	2	5
3	не в том	1	5
4	то же время	7	5
5	в то же	7	5
6	вместе с тем	1	4
7	с другой стороны	1	4
8	но и в	2	4
9	не только в	4	4
10	далеко не все	1	3
11	более или менее	1	3
12	с одной стороны	3	3
13	само по себе	1	3
14	и т д	1	3
15	вслед за тем	1	3
16	для того чтобы	1	3
17	не может быть	1	3
18	есть для нас	1	2
19	в собственном смысле	1	2
20	можно думать что	1	2
21	в некотором смысле	1	2
22	в том виде	1	1
23	одной стороны и	2	1
24	прежде чем говорить	1	1
25	в них самих	1	1
26	во многих случаях	1	1
27	сами по себе	3	1
28	потому что по	1	1
29	и если бы	2	1
30	за то что	1	1
31	и не менее	1	1
32	до тех пор	1	1
33	и то что	1	1
34	все это в	1	1
35	если мы не	1	1
36	между тем в	1	1
37	нет сомнения что	1	1
38	бы оно ни	1	1
39	нужно было иметь	1	1
40	потому что есть	1	1
41	чем говорить о	1	1
42	что то же	1	1
43	т д не	1	1
44	заключается в том	2	1
45	или что то	1	1
46	и тем самым	1	1
47	тем и другим	1	1
48	если бы мы	1	1
49	тем более что	1	1
50	друг с другом	1	1
51	и вслед за	1	1
52	именно потому что	1	1
53	на наш взгляд	1	1
