N	2gram	Bakhtin_Pr_1	Retstnzi
1	не может	11	4
2	и в	23	3
3	один из	2	2
4	достоевского и	12	2
5	нет и	1	1
6	лежащие в	1	1
7	и можно	1	1
8	себе все	1	1
9	смысл и	2	1
10	и не	34	1
11	зрения их	1	1
12	тому что	2	1
13	не только	13	1
14	ни один	2	1
15	этой проблемы	1	1
16	точки зрения	21	1
17	конечно и	4	1
18	во второй	1	1
19	но и	11	1
20	из социологического	1	1
21	не менее	1	1
22	с другими	7	1
23	ничего кроме	1	1
24	не из	2	1
25	по своим	2	1
26	в ней	1	1
27	может и	1	1
28	о художественной	1	1
29	в то	10	1
30	с точки	15	1
31	подхода к	1	1
32	и форму	1	1
33	и на	10	1
34	для него	15	1
35	мы видим	3	1
36	и больше	1	1
37	литературы то	1	1
38	как художественная	3	1
39	к тому	1	1
40	речь и	1	1
41	а не	20	1
42	может быть	21	1
43	вполне понятно	1	1
44	несмотря на	6	1
45	в его	24	1
46	он в	2	1
47	же время	7	1
48	конкретного осуществления	1	1
49	то же	10	1
50	и все	3	1
51	из этих	2	1
52	нуждаются в	1	1
53	если бы	10	1
54	в каждом	8	1
55	бы в	3	1
