N	3gram	Propp_Russ_2	Istorich
1	и т д	5	22
2	не может быть	3	7
3	тем не менее	2	6
4	более или менее	1	5
5	с другой стороны	1	5
6	в царство мертвых	1	5
7	мы должны будем	1	4
8	с одной стороны	2	4
9	на то что	1	4
10	в том что	18	4
11	дело в том	1	3
12	то время как	1	3
13	в то время	2	3
14	с того что	1	3
15	о том что	4	3
16	мы не будем	2	3
17	можно было бы	1	3
18	может быть назван	1	2
19	выше мы видели	1	2
20	в этих случаях	3	2
21	это для нас	1	2
22	но и в	1	2
23	то что в	1	2
24	вместе с тем	4	2
25	а не на	1	2
26	так же как	4	2
27	здесь мы имеем	1	2
28	на первый взгляд	1	2
29	в отличие от	3	2
30	как мы увидим	1	2
31	том что они	1	2
32	мы видели что	4	2
33	мы не можем	2	2
34	что они часто	1	2
35	вопрос о том	1	2
36	за тридевять земель	1	2
37	по этому поводу	2	2
38	для нас не	1	2
39	а иногда и	1	1
40	в другом месте	1	1
41	когда мы рассмотрим	2	1
42	отсюда видно что	1	1
43	иметь в виду	1	1
44	об этом обряде	1	1
45	материалы дают нам	2	1
46	не непосредственно а	1	1
47	подобно тому как	3	1
48	в советской науке	1	1
49	так что в	1	1
50	во многих случаях	2	1
51	о том как	1	1
52	в этом случае	6	1
53	только тогда когда	3	1
54	же как и	2	1
55	так как оно	1	1
56	глядит из окошка	1	1
57	для нас важны	1	1
58	но все это	1	1
59	более высокой ступени	1	1
60	в лесу или	3	1
61	в своей книге	2	1
62	как раз наоборот	1	1
63	другой стороны его	1	1
64	для этой цели	2	1
65	а может быть	1	1
66	на самом же	2	1
67	а так как	1	1
68	из своей среды	1	1
69	не все еще	1	1
70	в какой степени	1	1
71	мы имеем их	1	1
72	может быть только	2	1
73	а он в	1	1
74	мы имеем смешение	1	1
75	представляет собой очень	1	1
76	но в ее	1	1
77	в этой связи	1	1
78	не будем здесь	2	1
79	в это время	1	1
80	этот случай встречается	1	1
81	и многие другие	2	1
82	каждый из этих	1	1
83	в том чтобы	2	1
84	следы представлений о	1	1
85	во многих местах	1	1
86	целью воздействовать на	1	1
87	своей книге о	1	1
88	как будто ничего	1	1
89	как бы совсем	1	1
90	делать не будем	1	1
91	в некоторых местах	4	1
92	в сказке как	1	1
93	но так как	1	1
94	самом же деле	2	1
95	возможно что здесь	1	1
96	это не совсем	1	1
97	таким образом в	1	1
98	между собой и	1	1
99	лесу или в	2	1
100	не может удовлетворить	1	1
101	имеется довольно много	1	1
102	обычай убивать стариков	1	1
103	в мифе часто	1	1
104	явление представляют собой	1	1
105	не только на	1	1
106	еще не все	1	1
107	что и наш	1	1
108	что иное как	2	1
109	это приводит нас	1	1
110	материалов достаточно чтобы	1	1
111	смысле этого слова	1	1
112	этого делать не	1	1
113	после того как	2	1
114	смерти но и	1	1
115	связано не с	1	1
116	не что иное	2	1
117	все еще ясно	1	1
118	нам право на	2	1
119	оно все же	1	1
120	дело не в	1	1
121	и в этом	1	1
122	приводит нас к	2	1
123	в лес за	1	1
124	для того чтобы	6	1
125	этого обряда в	1	1
126	существовал обычай убивать	1	1
127	а именно в	2	1
128	по его мнению	1	1
129	т д а	1	1
130	пока еще не	2	1
131	д к зеленин	3	1
132	в этом отношении	1	1
133	дают нам право	2	1
