N	4gram	Tiupa_Narr_1	Psycholo
1	в том что он	1	3
2	состоит в том чтобы	1	2
3	в том что в	1	2
4	точно так же как	2	2
5	в то же время	3	2
6	в ней не только	1	1
7	в капитанской дочке пушкина	1	1
8	о том что по	1	1
9	же как и в	1	1
10	не что иное как	2	1
11	друг с другом и	1	1
12	одного сознания к другому	2	1
13	бы то ни было	3	1
14	с этой точки зрения	1	1
15	ни на что не	1	1
16	одного и того же	1	1
17	он сам того не	1	1
18	было на самом деле	1	1
19	и до наших дней	1	1
20	от одного сознания к	2	1
21	один и тот же	1	1
22	есть не что иное	1	1
