N	2gram	Propp_Russ_2	Myslijsy
1	потому что	5	46
2	в том	22	32
3	и в	29	30
4	может быть	13	28
5	то же	4	23
6	не только	10	21
7	только в	1	21
8	для нас	6	20
9	но и	8	19
10	того что	3	18
11	том что	22	18
12	то что	5	18
13	что в	22	17
14	и не	1	15
15	не в	4	15
16	а не	4	15
17	таким образом	6	14
18	что и	2	13
19	так как	13	13
20	если бы	1	12
21	вместе с	6	12
22	а в	9	12
23	так и	1	11
24	этого слова	1	11
25	есть уже	1	11
26	как в	7	10
27	в этом	11	10
28	как и	11	10
29	в то	2	10
30	и что	5	10
31	мы не	6	9
32	только тогда	3	9
33	из этих	2	9
34	в нем	1	9
35	было бы	3	9
36	тогда когда	4	9
37	между тем	3	9
38	для него	1	9
39	и то	2	8
40	в ней	1	8
41	в самом	1	8
42	только что	1	8
43	с одной	2	7
44	но не	5	7
45	с тем	6	7
46	тем что	3	7
47	как мы	3	7
48	так что	4	7
49	с другой	2	7
50	смысле этого	1	7
51	например в	1	6
52	то это	1	6
53	с этим	2	6
54	с ним	1	6
55	не имеет	3	6
56	там же	12	6
57	что он	1	6
58	уже не	4	6
59	то и	4	6
60	из них	4	6
61	зависит от	1	6
62	не может	5	6
63	но это	1	6
64	человека и	1	5
65	и т	5	5
66	еще не	6	5
67	независимо от	1	5
68	в своем	1	5
69	и как	2	5
70	не следует	1	5
71	с другими	3	5
72	в них	4	5
73	вместе и	1	5
74	можно видеть	1	5
75	к ней	2	5
76	как на	1	5
77	не менее	2	5
78	уже в	1	5
79	одно из	2	5
80	очевидно что	2	5
81	тому как	3	5
82	должно быть	2	5
83	сказать что	1	5
84	только как	2	5
85	или же	5	4
86	не все	4	4
87	относится к	1	4
88	что именно	1	4
89	не было	2	4
90	что это	3	4
91	представление есть	1	4
92	не к	2	4
93	но вместе	2	4
94	и по	3	4
95	мы видели	7	4
96	и при	2	4
97	в котором	3	4
98	того как	2	4
99	и его	1	4
100	до того	1	4
101	для того	6	4
102	оно не	1	4
103	и это	1	4
104	то время	2	4
105	в его	1	4
106	один из	2	4
107	а и	2	4
108	далеко не	4	4
109	что для	3	4
110	быть только	2	4
111	и потому	1	4
112	все это	10	4
113	и от	3	4
114	тем более	1	4
115	мы должны	1	4
116	другой стороны	1	4
117	все что	1	4
118	и есть	1	3
119	говорить о	1	3
120	и на	6	3
121	ответ на	1	3
122	более или	1	3
123	не можем	2	3
124	что она	3	3
125	при этом	6	3
126	т д	5	3
127	образа и	1	3
128	не будет	1	3
129	что все	1	3
130	его в	8	3
131	и тогда	1	3
132	или менее	1	3
133	как бы	18	3
134	место в	1	3
135	что при	2	3
136	тем не	2	3
137	на него	1	3
138	с и	1	3
139	образом в	2	3
140	того чтобы	6	3
141	заметить что	2	3
142	могут быть	2	3
143	свою очередь	1	3
144	в образе	2	3
145	или в	7	3
146	том как	1	3
147	и вообще	1	3
148	можно сказать	1	3
149	к нему	4	3
