N	3gram	Tiupa_Narr_1	FransuaR
1	в то же	3	6
2	то же время	3	6
3	как мы уже	1	5
4	в связи с	2	4
5	до сих пор	1	4
6	в том числе	6	3
7	жизнью и смертью	1	3
8	а также и	1	3
9	между жизнью и	1	3
10	на самом деле	1	3
11	и прежде всего	1	3
12	в отличие от	5	3
13	о том что	6	2
14	и не было	1	2
15	по отношению к	6	2
16	как и в	1	2
17	можно сказать что	4	2
18	все то что	1	2
19	в значительной степени	2	2
20	в этом отношении	3	2
21	той или иной	4	2
22	до наших дней	1	2
23	как мы видели	1	2
24	том числе и	4	2
25	в той или	2	2
26	в том же	1	2
27	в данном случае	4	2
28	можно было бы	2	2
29	не может быть	5	2
30	подобно тому как	2	1
31	и др в	1	1
32	об этом свидетельствует	1	1
33	том что в	1	1
34	включает в себя	1	1
35	в данном контексте	1	1
36	бы то ни	3	1
37	в мире и	1	1
38	своего рода ключом	1	1
39	и т.п то	1	1
40	жизни то есть	1	1
41	мы уже отмечали	1	1
42	с таким же	1	1
43	здесь мы касаемся	1	1
44	особое отношение к	1	1
45	дело не с	1	1
46	тех или иных	1	1
47	с другой стороны	4	1
48	может быть и	1	1
49	или иной форме	1	1
50	у него под	1	1
51	то ни было	3	1
52	не подлежит сомнению	1	1
53	рода ключом к	1	1
54	в том что	8	1
55	что в отличие	1	1
56	и в особенности	1	1
57	в первом случае	2	1
58	но и самого	1	1
59	и придает ему	1	1
60	не что иное	2	1
61	до нас в	1	1
62	в основе своей	4	1
63	только то что	1	1
64	может быть только	1	1
65	какой бы то	1	1
66	некоторые из них	1	1
67	что иное как	2	1
68	но все же	4	1
69	прежде всего в	1	1
70	есть не что	1	1
71	в свое время	1	1
72	в отрыве от	1	1
73	с точки зрения	2	1
74	в том чтобы	1	1
75	или иной степени	1	1
76	дело в том	1	1
77	самым существенным образом	1	1
78	как мы увидим	1	1
79	само по себе	1	1
80	то что он	1	1
81	в свою очередь	3	1
82	дело здесь не	1	1
