N	3gram	Berdyaev_O_1	Myshleni
1	для того чтобы	3	14
2	в том что	1	11
3	друг с другом	1	7
4	по сравнению с	1	5
5	в этом отношении	1	5
6	в другом месте	1	4
7	о том что	1	4
8	вместо того чтобы	1	3
9	не может быть	2	3
10	том что в	1	2
11	потому что в	1	2
12	в самом деле	1	2
13	о том как	1	2
14	и не может	1	2
15	и то что	1	2
16	в этот период	1	2
17	того чтобы сделать	1	2
18	от того что	1	2
19	само по себе	1	2
20	он попал в	1	1
21	как например в	1	1
22	сам по себе	1	1
23	как это часто	1	1
24	до самого конца	2	1
25	это вопрос о	1	1
26	нет у него	1	1
27	а не только	1	1
28	это было бы	2	1
29	смысле этого слова	1	1
30	но он еще	1	1
31	не могут быть	2	1
32	друг к другу	1	1
33	во всяком случае	1	1
34	между этими двумя	1	1
35	что он был	1	1
36	и никогда не	2	1
37	он еще не	1	1
38	еще не овладел	1	1
39	но еще более	1	1
40	ничто не может	1	1
41	и вопрос о	1	1
42	не есть просто	1	1
