N	2gram	Potebnia_M_3	formyVre
1	и в	30	46
2	в этом	10	22
3	и т	5	14
4	прежде всего	3	14
5	вовсе не	7	13
6	и его	4	12
7	во всех	1	11
8	не только	21	11
9	только в	21	11
10	т п	2	11
11	как бы	3	10
12	то есть	34	10
13	во время	2	10
14	точки зрения	2	10
15	в том	32	10
16	но в	1	10
17	мы уже	2	9
18	не в	15	9
19	у него	2	9
20	но и	19	9
21	вместе с	12	9
22	и не	15	9
23	то же	23	8
24	как и	10	8
25	с точки	1	8
26	для того	4	8
27	того чтобы	3	8
28	потому что	46	8
29	связи с	2	8
30	в его	4	8
31	из них	6	8
32	жизни и	2	8
33	и на	3	7
34	так сказать	2	7
35	так и	11	7
36	в них	5	7
37	может быть	28	7
38	в одном	2	7
39	то что	18	7
40	как мы	7	6
41	еще не	5	6
42	все же	2	6
43	и наконец	2	6
44	во рту	1	6
45	при этом	3	6
46	и с	2	6
47	его в	3	6
48	те же	6	6
49	так как	13	6
50	все это	4	6
51	и все	3	6
52	но не	7	5
53	с этим	6	5
54	в своем	5	5
55	все эти	1	5
56	он не	4	5
57	в нем	9	5
58	должно быть	5	5
59	в то	10	5
60	в непосредственном	1	5
61	в смысле	4	5
62	что в	17	5
63	отношения к	1	4
64	человека и	5	4
65	и самое	2	4
66	в мире	1	4
67	и он	1	4
68	что они	2	4
69	в истории	1	4
70	как в	10	4
71	уже в	5	4
72	из этих	9	4
73	в себе	16	4
74	их в	2	4
75	и было	1	4
76	том что	18	4
77	в котором	4	4
78	место в	3	4
79	том же	2	4
80	же время	5	4
81	смерти и	1	4
82	в образе	3	4
83	с ним	6	4
84	о том	2	4
85	его жизни	2	4
86	все его	1	4
87	вопросу о	1	4
88	к ряду	1	4
89	так что	7	4
90	конечно не	1	4
91	с другом	1	4
92	а не	15	4
93	человеческой жизни	3	4
94	в ряду	3	4
95	друг с	1	4
96	с этой	2	4
97	же в	2	4
98	жизни в	1	4
99	есть и	1	4
100	нас это	1	3
101	ему в	2	3
102	в виду	1	3
103	того же	1	3
104	слова и	5	3
105	мы еще	1	3
106	отношение к	2	3
107	нет и	1	3
108	хотя и	1	3
109	целый ряд	2	3
110	и как	5	3
111	на нас	2	3
112	уже не	6	3
113	та же	2	3
114	т д	3	3
115	при виде	1	3
116	и по	4	3
117	прежде чем	2	3
118	уже сказали	1	3
119	таким образом	14	3
120	здесь мы	1	3
121	в совершенно	1	3
122	на первый	1	3
123	в их	2	3
124	в которых	2	3
125	следовательно и	1	3
126	же самое	1	3
127	к тому	7	3
128	себя и	4	3
129	том как	3	3
130	жизнь и	1	3
131	как у	1	3
132	что и	13	3
133	того что	18	3
134	тот же	1	3
135	что он	6	3
136	для него	9	3
