N	3gram	Berdyaev_N_1	Literetu
1	в том что	1	11
2	в отличие от	1	5
3	не только в	1	4
4	подобно тому как	3	2
5	с одной стороны	2	2
6	во всяком случае	1	2
7	о том что	1	2
8	культуры нового времени	2	2
9	только потому что	1	1
10	а не в	1	1
11	как это было	1	1
12	в зависимости от	1	1
13	в наше время	3	1
14	последних вопросов бытия	1	1
15	можно было бы	1	1
16	в значительной степени	1	1
17	он нуждается в	1	1
18	не в силах	1	1
19	в одну из	1	1
20	с другой стороны	2	1
21	не может быть	4	1
22	я условно называю	1	1
23	и того же	1	1
24	до сих пор	1	1
25	одного и того	1	1
26	общественной жизни не	1	1
27	в большинстве случаев	1	1
28	во имя свободы	3	1
29	в том числе	1	1
30	есть бог и	1	1
31	быть не может	1	1
