N	2gram	Kanaev_Sov_1	RusskieA
1	и в	7	36
2	не только	4	22
3	том что	1	19
4	что в	2	19
5	в и	2	17
6	в том	4	17
7	так как	4	15
8	xix в	1	13
9	в этом	7	12
10	в этот	1	10
11	это не	4	10
12	как и	6	10
13	как мы	2	10
14	вместе с	4	10
15	а в	4	9
16	и по	2	8
17	у нас	3	8
18	о том	1	8
19	один из	1	8
20	из них	4	8
21	может быть	12	8
22	мы не	9	6
23	в виде	2	6
24	таким образом	11	6
25	при этом	3	6
26	не имеет	1	6
27	уже не	2	6
28	и не	6	6
29	все это	3	6
30	для нас	3	6
31	все же	3	5
32	и у	1	5
33	в течение	1	5
34	как бы	4	5
35	этом случае	1	5
36	мы имеем	1	4
37	в первый	1	4
38	еще не	3	4
39	во всех	1	4
40	следующим образом	3	4
41	их на	1	4
42	из этих	2	4
43	одна из	3	4
44	связи с	1	4
45	его с	1	4
46	так в	1	4
47	еще в	1	4
48	и что	2	4
49	и их	1	4
50	в некоторых	2	4
51	по существу	1	4
52	но это	1	4
53	в связи	1	4
54	не может	17	4
55	только в	1	4
56	к этому	1	4
57	их и	1	3
58	представление о	1	3
59	если в	1	3
60	в своем	1	3
61	не можем	7	3
62	что это	2	3
63	и те	1	3
64	на этом	2	3
65	то же	3	3
66	но все	2	3
67	совпадают с	1	3
68	для них	1	3
69	несмотря на	1	3
70	точки зрения	12	3
71	таким же	1	3
72	с точки	5	3
73	она в	1	3
74	тем не	2	3
75	но они	1	3
76	их в	4	3
77	не менее	2	3
78	ничего не	6	3
79	приводит к	2	3
80	настоящее время	2	3
81	как например	1	3
82	только на	1	3
83	в одном	3	3
84	много и	1	3
85	из приведенных	1	3
86	в области	3	3
87	и из	1	3
88	на этот	2	3
89	так же	1	3
90	не будем	2	3
91	в настоящее	2	3
92	и к	3	3
93	в свою	2	3
94	как известно	2	2
95	можно говорить	1	2
96	но тем	1	2
97	между двумя	1	2
98	за все	1	2
99	к другому	1	2
100	что иное	1	2
101	в ней	1	2
102	иное как	1	2
103	природы и	1	2
104	на самом	1	2
105	но не	1	2
106	отнюдь не	3	2
107	независимо от	1	2
108	с этим	2	2
109	мы можем	6	2
110	хотя и	1	2
111	но в	3	2
112	та же	1	2
113	в целом	4	2
114	все эти	5	2
115	в нашем	2	2
116	в дальнейшем	4	2
117	и до	1	2
118	как он	3	2
119	что она	3	2
120	в нем	3	2
121	в каждом	8	2
122	на этой	3	2
123	носят название	1	2
124	такой же	2	2
125	в один	2	2
126	в западной	1	2
127	и более	1	2
128	в древней	1	2
129	она не	1	2
130	у него	2	2
131	так называемый	1	2
132	могут быть	2	2
133	ничего общего	1	2
134	свою очередь	2	2
135	с ним	1	2
136	в его	2	2
137	значит что	1	2
138	не случайно	1	2
139	этот вопрос	1	2
140	в какой	1	2
141	наших целей	1	2
142	в большинстве	1	2
143	его и	1	2
144	но что	1	2
145	не было	1	2
146	чем в	1	2
147	для наших	1	2
148	такое же	1	2
149	и пр	2	2
150	а не	3	2
151	и потому	3	2
152	западной европе	1	2
153	там где	1	2
154	быть и	2	2
155	между собой	3	2
156	мы видим	2	2
157	и для	1	2
158	или в	1	2
159	мы должны	4	2
160	и начало	1	2
161	не что	1	2
162	в своих	1	2
163	же как	1	1
164	в объяснении	1	1
165	а из	1	1
166	самом деле	2	1
167	зависимости от	4	1
168	в первом	3	1
169	характерное для	1	1
170	по преимуществу	1	1
171	на две	3	1
172	по его	1	1
173	и могут	1	1
174	мы уже	1	1
175	из всех	1	1
176	не приходится	1	1
177	вопрос о	4	1
178	говорить о	2	1
179	три направления	1	1
180	направление в	1	1
181	а далее	1	1
182	кто же	1	1
183	того же	1	1
184	которую можно	1	1
