N	2gram	Propp_Isto_7	RusskieA
1	и в	24	36
2	не только	21	22
3	том что	10	19
4	что в	13	19
5	в том	7	17
6	т е	16	17
7	но и	11	16
8	так как	8	15
9	во время	6	14
10	и другие	9	13
11	в этом	12	12
12	в других	4	11
13	и т	17	10
14	и на	2	10
15	в этот	1	10
16	это не	10	10
17	как и	6	10
18	как мы	3	10
19	вместе с	7	10
20	потому что	9	10
21	т д	16	9
22	об этом	6	9
23	а в	10	9
24	состоит в	1	8
25	и по	3	8
26	с тем	1	8
27	о том	9	8
28	один из	7	8
29	мы увидим	6	8
30	из них	2	8
31	может быть	14	8
32	как это	2	8
33	е в	2	8
34	что они	3	7
35	так и	5	7
36	что и	8	7
37	представляют собой	5	7
38	мы не	4	6
39	в виде	1	6
40	другие сроки	1	6
41	так например	2	6
42	таким образом	7	6
43	при этом	4	6
44	видно что	5	6
45	в день	1	6
46	не имеет	4	6
47	с этого	1	6
48	это делалось	1	6
49	уже не	2	6
50	в них	3	6
51	и не	4	6
52	все это	8	6
53	для нас	6	6
54	то что	7	6
55	иногда и	1	5
56	как в	12	5
57	все же	9	5
58	во многих	2	5
59	показывает что	8	5
60	при изучении	1	5
61	в которых	1	5
62	того как	3	5
63	как будто	1	5
64	там же	2	5
65	этого обычая	4	5
66	с ними	1	5
67	и у	2	5
68	как бы	4	5
69	этом случае	1	5
70	животных и	1	4
71	мы имеем	12	4
72	в первый	1	4
73	не совсем	2	4
74	на семи	1	4
75	еще не	8	4
76	во всех	7	4
77	на стол	1	4
78	что по	2	4
79	следующим образом	3	4
80	представляет собой	4	4
81	после этого	3	4
82	с собой	7	4
83	входит в	1	4
84	их на	2	4
85	из этих	3	4
86	в их	4	4
87	что этот	2	4
88	тому что	2	4
89	вплоть до	2	4
90	а иногда	1	4
91	одна из	7	4
92	связи с	3	4
93	к тому	1	4
94	его с	1	4
95	так в	4	4
96	и что	10	4
97	и их	1	4
98	тем что	6	4
99	а с	1	4
100	и др	2	4
101	в некоторых	1	4
102	в тех	5	4
103	того что	6	4
104	по существу	4	4
105	но это	3	4
106	в связи	2	4
107	не может	14	4
108	только в	6	4
109	к этому	2	4
110	увидим ниже	1	3
111	песни и	1	3
112	этот обряд	2	3
113	представление о	3	3
114	своего рода	4	3
115	если в	2	3
116	которые не	2	3
117	в своем	1	3
118	не можем	2	3
119	что это	6	3
120	думать что	2	3
121	под землей	2	3
122	связанные с	2	3
123	в основном	2	3
124	то же	8	3
125	но все	4	3
126	чаще всего	3	3
127	он же	1	3
128	далеко не	1	3
129	в этих	13	3
130	точки зрения	4	3
131	с точки	1	3
132	она в	3	3
133	тем не	4	3
134	но они	3	3
135	на небо	1	3
136	не менее	5	3
137	этого обряда	2	3
138	в разных	1	3
139	ничего не	5	3
140	вывод что	1	3
141	можно сделать	1	3
142	говорится что	1	3
143	не с	1	3
144	других местах	1	3
145	начиная с	1	3
146	а также	1	3
147	от них	1	3
148	связаны с	2	3
149	в середине	1	3
150	как например	1	3
151	всякого рода	1	3
152	по этому	2	3
153	в качестве	3	3
154	только на	2	3
155	к ним	2	3
156	также на	1	3
157	и из	1	3
158	на этот	2	3
159	о чем	1	3
160	так же	6	3
161	по содержанию	1	3
162	в целях	2	3
163	и к	1	3
164	но эти	1	3
165	как известно	1	2
166	например в	3	2
167	но тем	2	2
168	между двумя	1	2
169	к другому	1	2
170	в доме	1	2
171	на тех	1	2
172	еще до	1	2
173	но она	1	2
174	что иное	1	2
175	на себя	2	2
176	как не	1	2
177	в ней	1	2
178	он был	1	2
179	но не	6	2
180	тогда как	3	2
181	не просто	2	2
182	однако как	1	2
183	независимо от	1	2
184	что именно	1	2
185	с этим	2	2
186	мы можем	4	2
187	хотя и	3	2
188	и как	1	2
189	но в	5	2
190	та же	2	2
191	в целом	1	2
192	все эти	2	2
193	в дальнейшем	3	2
194	как он	6	2
195	после чего	2	2
196	и всей	1	2
197	что она	5	2
198	не едят	1	2
199	в нем	6	2
200	имело место	1	2
201	всех этих	6	2
202	в силу	2	2
203	его от	1	2
204	в окно	1	2
205	сделать из	1	2
206	в каждом	1	2
207	же не	1	2
208	и с	1	2
209	к другу	1	2
210	с целью	2	2
211	описывается как	1	2
212	в жизни	1	2
213	это сходство	1	2
214	такой же	1	2
215	в один	2	2
216	народ и	1	2
217	и звезды	1	2
218	этому же	1	2
219	должны были	3	2
220	такое толкование	1	2
221	и более	1	2
222	для этого	1	2
223	нас к	2	2
224	других народов	1	2
225	как можно	1	2
226	она не	2	2
227	они же	3	2
228	у него	10	2
229	с религией	1	2
