N	3gram	Nazirov_Tr_1	Myslijsy
1	в том что	2	16
2	смысле этого слова	1	7
3	сам по себе	1	5
4	то же время	5	5
5	в то же	5	5
6	не только по	1	3
7	что он не	1	3
8	тем не менее	1	3
9	не может быть	1	3
10	а между тем	1	2
11	том что он	1	2
12	и т п	1	2
13	не могут быть	1	2
14	так и в	3	2
15	как и в	1	2
16	что в ней	1	2
17	и в самом	2	2
18	не только не	1	2
19	с тем и	1	2
20	к тому что	1	2
21	и теперь еще	1	1
22	но он сам	1	1
23	в чем же	1	1
24	в самом деле	1	1
25	не было до	1	1
26	но как в	1	1
27	за то что	1	1
28	и то что	1	1
29	общем смысле этого	1	1
30	в данном случае	2	1
31	может быть не	1	1
32	не имеет для	1	1
33	уже не к	1	1
34	бросается в глаза	2	1
35	приходит в голову	1	1
36	не в силах	2	1
37	о том что	2	1
38	понятно что в	1	1
39	после того как	1	1
40	в разговоре с	1	1
