1	с точки зрения	5	9
2	до сих пор	4	8
3	не может быть	4	8
4	в большинстве случаев	1	8
5	и не может	1	7
6	друг с другом	1	5
7	по отношению к	1	5
8	в то же	6	5
9	то же время	6	5
10	то есть в	1	4
11	как мы сказали	1	3
12	на самой границе	1	3
13	имеем в виду	2	3
14	мы имеем в	1	3
15	как и в	1	3
16	с другой стороны	3	3
17	но в то	3	2
18	но и в	4	2
19	в строгом смысле	1	2
20	дело в том	1	2
21	разобранные нами явления	1	2
22	как если бы	1	2
23	большей или меньшей	3	2
24	или меньшей степени	3	2
25	и в самой	1	2
26	в свое время	3	2
27	здесь не место	1	2
28	в большей или	3	2
29	во всех его	1	2
30	в том что	1	2
31	мы уже сказали	1	2
32	как мы уже	3	2
33	можно сказать что	2	2
34	о том что	3	2
35	на этом мы	1	2
36	всем этим явлениям	1	1
37	и во всех	3	1
38	со смертью и	1	1
39	как своего рода	1	1
40	в игре и	1	1
41	не только в	5	1
42	он как бы	2	1
43	таким образом и	1	1
44	мы будем говорить	1	1
45	в xix веке	3	1
46	как мы видим	1	1
47	она не только	1	1
48	самом деле в	1	1
49	так и в	1	1
50	контекст в котором	1	1
51	в художественном творчестве	1	1
52	и в эпоху	1	1
53	также и в	1	1
54	как необходимый момент	1	1
55	и других форм	1	1
56	поэтому мы и	1	1
57	даже и не	1	1
58	совершенно не учитывает	1	1
59	и т.п все	1	1
60	и все остальные	1	1
61	в эпоху возрождения	2	1
62	и в то	2	1
63	по сравнению с	2	1
64	в общем не	1	1
65	то есть для	2	1
66	не входит в	1	1
67	его отношения к	1	1
68	возрождения смех в	1	1
69	в значительной степени	2	1
70	на поверхностный взгляд	1	1
71	так как если	1	1
72	его особых художественных	1	1
73	но и на	1	1
74	на самом же	1	1
75	самом же деле	1	1
76	в художественной литературе	1	1
77	одна из существеннейших	1	1
78	он совершенно не	1	1
79	в этом случае	1	1
80	в пределах одной	2	1
81	но эти явления	1	1
82	а затем и	1	1
83	ровно ничего не	1	1
84	до некоторой степени	1	1
85	и без всякого	1	1
86	прежде всего на	1	1
87	прежде всего в	1	1
88	в собственном смысле	2	1
89	вовсе не был	2	1
90	ни на что	1	1
91	сказать что вся	1	1
92	правда сохраняется но	1	1
93	и перед лицом	1	1
94	этом мы можем	1	1
95	в известной мере	3	1
96	прежде всего как	1	1
97	в средние века	8	1
98	с одной стороны	3	1
99	но прежде всего	3	1
100	еще раз подчеркнуть	1	1
101	но все же	2	1
102	и не о	1	1
103	мы можем закончить	1	1
104	то есть к	1	1
105	в литературе эпохи	1	1
106	выходит за пределы	1	1
107	одной стороны и	1	1
108	в себе и	2	1
109	но он есть	1	1
110	в конце концов	1	1
111	рядом друг с	1	1
112	со всеми ее	1	1
113	во всяком случае	2	1
114	такие определения как	1	1
115	что в нем	1	1
116	после того как	1	1
117	то есть язык	1	1
118	в том же	1	1
119	в этом последнем	1	1
120	и не вполне	1	1
