N	4gram	Bakhtin_Fr_8	Marksizm
1	в то же время	10	8
2	но в то же	2	5
3	бы то ни было	1	4
4	в той или иной	1	3
5	на самом же деле	1	3
6	с одной стороны и	1	2
7	может быть и речи	1	2
8	какой бы то ни	1	2
9	не может быть и	1	2
10	и до настоящего времени	2	2
11	той или иной степени	1	2
12	в контексте определенных высказываний	1	1
13	никогда не может быть	1	1
14	мы уже говорили что	5	1
15	как впрочем и в	1	1
16	дело в том что	2	1
17	в том числе и	2	1
18	то же время это	1	1
19	но и в основе	1	1
20	как мы уже сказали	1	1
21	за пределы нашей работы	1	1
22	в том что это	1	1
23	бы оно ни было	1	1
24	как бы оно ни	1	1
25	можно прямо сказать что	1	1
