N	3gram	Berdyaev_O_1	Analitik
1	о том что	1	6
2	в том что	1	6
3	так и не	1	4
4	и в этом	2	4
5	в этом отношении	1	3
6	в самом начале	1	3
7	как и в	1	3
8	и то что	1	2
9	а не только	1	2
10	по природе своей	1	2
11	и в самом	1	2
12	на то что	1	2
13	уже отмечали что	1	1
14	человек и в	1	1
15	но и в	2	1
16	ко всему этому	1	1
17	и там и	1	1
18	каждом из них	1	1
19	прежде всего в	1	1
20	там и здесь	1	1
21	не может быть	2	1
22	в самом деле	1	1
23	вообще но и	1	1
24	в том-то и	1	1
25	друг с другом	1	1
26	он не только	1	1
