N	3gram	Losev_Dial_2	Problemy
1	с точки зрения	8	9
2	до сих пор	2	8
3	не может быть	3	8
4	и не может	1	7
5	то же время	4	5
6	в то же	3	5
7	друг с другом	1	5
8	в самом деле	3	4
9	как и все	2	4
10	более или менее	2	3
11	сам по себе	3	3
12	с другой стороны	4	3
13	мы уже сказали	1	2
14	большей или меньшей	1	2
15	и до сих	1	2
16	в этом смысле	1	2
17	у достоевского в	1	2
18	мы находим в	1	2
19	сами по себе	3	2
20	но и в	1	2
21	того и другого	1	2
22	это вовсе не	2	2
23	в том что	6	2
24	о том что	4	2
25	в свое время	1	2
26	можно сказать что	3	2
27	той или иной	1	2
28	как мы уже	1	2
29	в братьях карамазовых	1	2
30	сама по себе	7	2
31	но это конечно	1	1
32	не может не	3	1
33	но как раз	1	1
34	то это вовсе	1	1
35	в той или	2	1
36	иметь в виду	2	1
37	том что все	1	1
38	быть ни в	1	1
39	и даже не	1	1
40	том что он	1	1
41	по мере того	1	1
42	одной стороны и	1	1
43	же как и	1	1
44	если в нем	1	1
45	пространства и времени	4	1
46	и во многих	1	1
47	не было и	1	1
48	они вовсе не	1	1
49	и в то	1	1
50	на самом же	1	1
51	в себе и	1	1
52	в обычной жизни	1	1
53	то уже в	1	1
54	может быть даже	1	1
55	по себе он	1	1
56	может быть и	3	1
57	одно и то	4	1
58	так же как	1	1
59	пространство и время	1	1
60	в данном случае	2	1
61	с одной стороны	1	1
62	в конце концов	1	1
63	и то же	4	1
64	как мы это	2	1
65	но при этом	1	1
66	мы будем говорить	1	1
67	то что мы	1	1
68	по сравнению с	1	1
69	и в нем	1	1
70	и понимает его	1	1
71	так или иначе	2	1
72	все же есть	1	1
73	в нем не	1	1
74	все же не	1	1
75	в связи с	4	1
76	ни на что	1	1
77	потому что она	5	1
78	в виду что	2	1
79	к тому же	1	1
80	во всяком случае	2	1
81	самом же деле	1	1
82	в широком смысле	2	1
83	бы оно было	1	1
84	на тему о	1	1
85	была бы совершенно	1	1
86	и вместе с	1	1
87	мере того как	1	1
88	и хочет чтобы	1	1
89	притом так чтобы	1	1
90	с самого начала	2	1
91	что в нем	2	1
92	не только в	2	1
93	но все же	1	1
94	не в этом	1	1
95	уже сама по	1	1
96	времени и пространства	2	1
97	есть прежде всего	1	1
98	к тому что	1	1
99	и его значение	1	1
100	дело не в	1	1
101	но самое главное	1	1
102	все это не	1	1
103	в этом пункте	1	1
104	в жизни и	1	1
105	в своей жизни	1	1
