N	2gram	Propp_Russ_1	EvropaiC
1	таким образом	6	32
2	в том	17	31
3	и в	36	24
4	том что	19	20
5	все эти	2	19
6	народа а	1	18
7	не может	4	18
8	то что	6	17
9	может быть	8	15
10	народа в	1	15
11	все же	5	15
12	точки зрения	3	13
13	самом деле	1	12
14	в своем	3	12
15	в этом	12	12
16	с этим	2	11
17	между тем	7	11
18	все это	6	11
19	во всех	4	10
20	по отношению	1	10
21	так и	7	10
22	мы знаем	1	10
23	как бы	5	10
24	отношению к	1	10
25	все что	1	10
26	того же	1	9
27	на то	1	9
28	при этом	6	9
29	как и	10	9
30	с другом	1	9
31	друг с	1	9
32	что в	19	9
33	а и	5	8
34	чем у	2	8
35	с точки	3	8
36	если бы	1	8
37	у народа	1	8
38	так же	3	8
39	и все	1	8
40	на самом	2	7
41	из этих	4	7
42	в силу	2	7
43	не менее	3	7
44	по существу	4	7
45	к тому	4	7
46	для этого	2	7
47	о том	8	7
48	и что	4	7
49	что он	1	7
50	но и	16	7
51	и не	6	7
52	о котором	1	7
53	должна быть	1	6
54	еще не	4	6
55	и на	10	6
56	в общем	1	6
57	тогда как	2	6
58	что касается	1	6
59	в этой	1	6
60	несмотря на	3	6
61	и при	1	6
62	с ним	2	6
63	что и	7	6
64	того что	4	6
65	только в	4	6
66	так что	2	6
67	так как	15	6
68	мы можем	2	6
69	вместе с	10	6
70	как на	1	6
71	между двумя	2	5
72	из всех	1	5
73	и к	3	5
74	но в	2	5
75	в которой	1	5
76	что это	3	5
77	в целом	2	5
78	в себе	1	5
79	тому же	1	5
80	не только	22	5
81	но все	3	5
82	что все	1	5
83	и с	2	5
84	на все	2	5
85	его в	1	5
86	и без	1	5
87	в то	1	5
88	как будто	5	5
89	в его	2	5
90	потому что	10	5
91	и их	4	5
92	у него	2	5
93	далеко не	3	5
94	по своему	1	5
95	быть и	2	5
96	и для	2	5
97	к этому	4	5
98	народ и	2	4
99	то же	3	4
100	мы уже	1	4
101	та же	2	4
102	между собой	2	4
103	хотя и	2	4
104	он не	1	4
105	всех этих	2	4
106	из них	8	4
107	в их	4	4
108	тем не	3	4
109	том же	2	4
110	других народов	2	4
111	из которых	1	4
112	связи с	4	4
113	в дальнейшем	2	4
114	в народе	1	4
115	и у	5	4
116	в виде	6	4
117	не так	1	4
118	в области	3	4
119	а с	4	4
120	в в	2	4
121	которых мы	1	4
122	не могут	1	4
123	в течение	5	4
124	этом случае	5	4
125	мы должны	2	4
