N	3gram	Tiupa_Narr_2	PoTuStor
1	с точки зрения	2	6
2	на самом деле	2	4
3	в чем не	1	3
4	в этом смысле	1	3
5	до сих пор	1	3
6	по сравнению с	1	3
7	во всяком случае	1	3
8	не может быть	2	3
9	ни в чем	1	3
10	можно сказать что	3	3
11	в большинстве случаев	1	3
12	по аналогии с	1	2
13	так же как	2	2
14	в самом деле	1	2
15	нет никаких оснований	1	2
16	все то что	2	2
17	о том что	4	2
18	в конечном счете	3	2
19	и того же	1	1
20	при всей ее	1	1
21	то что я	1	1
22	следует заметить что	1	1
23	всех без исключения	1	1
24	прежде всего на	1	1
25	подобно тому как	2	1
26	одного и того	1	1
27	то же самое	1	1
28	как это делает	1	1
29	не может иметь	1	1
30	а потому не	1	1
31	в этом отношении	3	1
32	для него уже	1	1
33	в другом человеке	1	1
34	можно было бы	1	1
35	а то и	2	1
36	все эти столь	1	1
37	именно то что	2	1
38	может быть только	1	1
39	с этой точки	1	1
40	всей моей жизни	1	1
41	можно ли признать	1	1
42	в данном случае	6	1
43	с одной стороны	5	1
44	в связи с	1	1
45	а с другой	1	1
46	имеем дело с	2	1
47	поры до времени	1	1
48	смысле они не	1	1
49	в том что	8	1
50	было на самом	1	1
51	этой точки зрения	1	1
52	каждого из этих	1	1
53	так и в	1	1
54	по его мнению	1	1
55	что иное как	1	1
56	если они становятся	1	1
57	в том смысле	1	1
58	не что иное	1	1
59	для того чтобы	1	1
60	на первый взгляд	1	1
61	до поры до	1	1
62	обратим внимание на	1	1
63	той или иной	3	1
