N	4gram	Vinokur_Ku_2	EvropaiE
1	в то же время	3	14
2	с этой точки зрения	2	5
3	бы то ни было	1	4
4	само по себе не	1	2
5	заключается в том что	1	2
6	дело в том что	1	1
7	как мы видели в	1	1
8	в качестве одного из	1	1
9	ни на минуту забывать	1	1
10	только в том случае	1	1
11	в то время как	1	1
12	в связи с этим	1	1
13	в том случае если	2	1
14	что само по себе	1	1
15	не только в том	1	1
16	в большей или меньшей	3	1
17	несмотря на то что	1	1
18	не говоря уже о	2	1
19	именно с этой точки	1	1
20	большей или меньшей степени	3	1
