N	3gram	Bakhtin_Pr_4	PoTuStor
1	с точки зрения	9	6
2	с самого начала	1	4
3	в этом смысле	2	3
4	до сих пор	8	3
5	по сравнению с	1	3
6	во всяком случае	1	3
7	не может быть	8	3
8	можно сказать что	2	3
9	в большинстве случаев	8	3
10	нам кажется что	3	2
11	друг на друга	2	2
12	так же как	1	2
13	в самом деле	4	2
14	о том что	2	2
15	во всех его	2	2
16	если бы он	1	1
17	при всей ее	1	1
18	прежде всего на	1	1
19	дело в том	2	1
20	мы имеем в	3	1
21	из этих трех	2	1
22	имеем в виду	3	1
23	же как и	1	1
24	как мы сказали	3	1
25	в свою противоположность	1	1
26	а может быть	1	1
27	остановимся на некоторых	1	1
28	термин катарсис очищение	1	1
29	можно было бы	2	1
30	рано или поздно	1	1
31	остановимся прежде всего	1	1
32	с его специфической	1	1
33	аристотелевский термин катарсис	1	1
34	в данном случае	1	1
35	что может быть	1	1
36	с одной стороны	1	1
37	в высшей степени	1	1
38	в связи с	1	1
39	как один из	1	1
40	мы и попытались	1	1
41	с нею и	1	1
42	которая позволила бы	1	1
43	самом деле в	1	1
44	в свое время	2	1
45	в том что	2	1
46	нельзя сказать о	1	1
47	так как его	1	1
48	из того же	1	1
49	так и в	1	1
50	и в эпоху	1	1
51	жизни в этом	1	1
52	в известной степени	1	1
53	и ту же	1	1
54	есть прежде всего	1	1
55	таким образом и	1	1
56	друг с другом	5	1
57	снова и снова	1	1
58	одну и ту	1	1
59	может быть даже	1	1
60	мы увидим что	2	1
61	как мы знаем	1	1
62	той или иной	2	1
63	только себя и	1	1
