N	3gram	Tiupa_Disk_2	Psycholo
1	в том что	6	14
2	с одной стороны	4	12
3	о том что	3	6
4	в самом деле	1	5
5	с другой стороны	1	5
6	заключает в себе	2	4
7	а с другой	1	4
8	и как бы	2	4
9	не в состоянии	1	3
10	и то что	2	3
11	одно и то	2	3
12	мы все же	1	3
13	и то же	2	3
14	с самого начала	1	3
15	в этом отношении	4	3
16	и того же	2	2
17	состоит в том	2	2
18	потому что в	1	2
19	и той же	1	2
20	одного и того	2	2
21	в этом случае	2	2
22	в качестве своего	1	2
23	с точки зрения	2	2
24	в отличие от	12	2
25	то что в	1	2
26	одной и той	1	2
27	в данном случае	6	2
28	что ни один	1	2
29	все то что	1	2
30	не может быть	3	2
31	той или иной	3	2
32	можно сказать что	1	2
33	друг от друга	1	2
34	том что в	1	1
35	действие и что	1	1
36	в чем не	1	1
37	том что лирика	1	1
38	прежде всего на	1	1
39	дело в том	2	1
40	по отношению к	4	1
41	равно как и	1	1
42	к самому герою	1	1
43	что на этом	1	1
44	одной стороны и	2	1
45	до известной степени	1	1
46	в другом месте	1	1
47	жизни и смерти	1	1
48	и именно в	1	1
49	только то что	1	1
50	в основе своей	2	1
51	в частности на	1	1
52	и в басне	2	1
53	и героиня и	1	1
54	по крайней мере	1	1
55	перед ним он	1	1
56	и в частности	1	1
57	а стало быть	1	1
58	в применении к	1	1
59	этом отношении на	1	1
60	и не дает	1	1
61	во внешнем мире	1	1
62	жизни но и	1	1
63	в себя и	1	1
64	как будто бы	1	1
65	не могут быть	1	1
66	о чем не	1	1
67	а не как	1	1
68	героя в частности	1	1
69	именно в этом	1	1
70	могут быть признаны	1	1
71	быть выведена из	1	1
72	то есть оно	1	1
73	того или иного	1	1
74	ни в чем	1	1
75	преимущественно на одном	1	1
76	в конечном счете	1	1
77	между романом и	1	1
78	речь идет о	1	1
79	ни о чем	1	1
80	на всем протяжении	1	1
81	никак не могут	1	1
82	говорит об этом	1	1
83	в самых общих	1	1
84	совпадают с теми	1	1
85	тем что он	1	1
86	мы имеем дело	1	1
87	и все же	3	1
88	в полной мере	1	1
89	в этом заключается	1	1
90	обратим внимание на	1	1
91	в русской литературе	2	1
92	он как бы	1	1
