N	3gram	Losev_Vlad_1	EvropaiC
1	в том что	7	16
2	более или менее	3	7
3	мы знаем что	2	7
4	на то что	4	7
5	что касается до	1	6
6	для того чтобы	2	6
7	в самом деле	1	5
8	в этой области	1	4
9	и без того	1	4
10	к тому же	2	4
11	с другой стороны	3	4
12	не может быть	3	4
13	о том что	7	4
14	тем не менее	2	4
15	в конце концов	3	4
16	в настоящее время	1	3
17	в том же	1	3
18	и то что	4	3
19	так или иначе	1	3
20	в связи с	1	3
21	заключается в том	1	3
22	в том виде	1	2
23	том что он	2	2
24	что же касается	4	2
25	ответить на вопрос	1	2
26	только то что	1	2
27	бы то ни	1	2
28	то же время	4	2
29	вместе с тем	1	2
30	по своему быту	1	2
31	то что у	2	2
32	то ни было	1	2
33	с одной стороны	1	2
34	а с другой	1	2
35	у него с	1	2
36	во всяком случае	2	2
37	в свою очередь	1	2
38	в то же	4	2
39	и в том	1	2
40	и в конце	1	1
41	потому что как	1	1
42	а следовательно и	1	1
43	нет и не	1	1
44	и выше всех	1	1
45	по этому вопросу	1	1
46	того что в	1	1
47	и то же	1	1
48	дело в том	4	1
49	то время как	1	1
50	мы уже сказали	2	1
51	не говоря уже	1	1
52	так что в	2	1
53	находить в них	1	1
54	наука не может	1	1
55	и не может	1	1
56	говоря уже о	1	1
57	у а к	1	1
58	также и то	2	1
59	у него в	1	1
60	и в дальнейшем	1	1
61	в то что	1	1
62	за то что	1	1
63	о них мы	1	1
64	так что и	1	1
65	одно и то	1	1
66	в тот же	1	1
67	выше мы уже	2	1
68	то обстоятельство что	2	1
69	уже о том	1	1
70	свидетельствует о том	1	1
71	то что для	1	1
72	но и его	1	1
73	от него в	1	1
74	в разные стороны	1	1
75	который как мы	1	1
76	что он сам	1	1
77	что у него	2	1
78	и той же	1	1
79	была у него	1	1
80	и не очень	1	1
81	а в том	1	1
82	том виде в	1	1
83	до тех пор	1	1
84	в то время	2	1
85	смысле этого слова	1	1
86	и все это	1	1
87	мы и не	1	1
88	к которой он	1	1
89	не только не	1	1
90	мысль о том	1	1
91	от нее и	1	1
92	тем более что	2	1
93	все это конечно	2	1
94	этот факт не	1	1
95	к тому что	1	1
96	одной и той	1	1
97	не без влияния	1	1
98	мы уже знаем	1	1
