N	2gram	Losev_Dial_4	Retstnzi
1	не может	11	4
2	и в	15	3
3	один из	4	2
4	нет и	2	1
5	и можно	5	1
6	в особенности	4	1
7	смысл и	3	1
8	и событий	2	1
9	и не	30	1
10	можно и	2	1
11	вещей и	1	1
12	не только	8	1
13	ни один	2	1
14	связи с	1	1
15	и истории	3	1
16	бы на	1	1
17	событий и	1	1
18	себя от	1	1
19	точки зрения	14	1
20	конечно и	1	1
21	но и	4	1
22	и должно	1	1
23	не менее	2	1
24	с другими	1	1
25	тех же	2	1
26	не из	1	1
27	именно с	1	1
28	теми или	1	1
29	в ней	5	1
30	может и	2	1
31	на месте	1	1
32	в то	6	1
33	с точки	9	1
34	рождается вопрос	1	1
35	истории но	1	1
36	и на	5	1
37	мы видим	4	1
38	может не	1	1
39	и больше	1	1
40	в анализе	2	1
41	в языке	1	1
42	сравнении с	2	1
43	а не	18	1
44	его от	1	1
45	может быть	17	1
46	при анализе	1	1
47	вполне понятно	1	1
48	в его	4	1
49	же время	6	1
50	то же	9	1
51	и все	11	1
52	из этих	2	1
53	можно назвать	3	1
54	если бы	6	1
55	исходя из	1	1
56	бы в	4	1
