N	3gram	Potebnia_M_4	Stilisti
1	в то же	3	9
2	то же время	3	7
3	для того чтобы	4	7
4	с точки зрения	3	5
5	то же самое	4	4
6	в свою очередь	1	4
7	с самого начала	1	4
8	на самом деле	3	3
9	в этом случае	5	3
10	в той же	1	3
11	но и в	1	3
12	заключает в себе	8	3
13	говорящего и слушающего	1	3
14	и той же	1	2
15	равно как и	2	2
16	отношение говорящего к	1	2
17	и не только	1	2
18	вместе с тем	3	2
19	не было бы	1	2
20	в этом отношении	1	2
21	только потому что	2	2
22	мы не знаем	1	2
23	на первый взгляд	1	2
24	смысле этого слова	1	2
25	но при этом	1	2
26	не может быть	5	2
27	что перед нами	1	2
28	есть не что	1	2
29	и как бы	2	2
30	не что иное	2	2
31	и тем же	1	2
32	о том что	5	2
33	что иное как	2	2
34	можно сказать что	4	2
35	с тем и	2	2
36	в связи с	1	2
37	к тому что	1	2
38	одной и той	1	2
39	все то что	1	2
40	мы видели что	1	2
41	стоящих на разных	1	1
42	и того же	1	1
43	представим себе что	1	1
44	нужно помнить что	1	1
45	нет и не	1	1
46	процессе образования новых	1	1
47	то хотя бы	1	1
48	и к тому	1	1
49	и не нужно	1	1
50	допустим что перед	1	1
51	одним и тем	1	1
52	по отношению к	8	1
53	не только о	1	1
54	и в отношении	1	1
55	же время и	1	1
56	себе в этом	1	1
57	в силу которого	2	1
58	до сих пор	4	1
59	если же он	1	1
60	нетрудно заметить что	2	1
61	при этом мы	1	1
62	и та же	1	1
63	другими словами в	1	1
64	на этот вопрос	2	1
65	и здесь мы	1	1
66	по крайней мере	5	1
67	что же мы	1	1
68	в своем развитии	2	1
69	хотя бы и	2	1
70	в большинстве случаев	2	1
71	в процессе образования	1	1
72	к одной и	1	1
73	которые ложатся в	1	1
74	в свою речь	1	1
75	и в этом	4	1
76	тем не менее	4	1
77	иметь в виду	1	1
78	о том какое	1	1
79	в виду что	1	1
80	одна и та	1	1
81	о котором мы	1	1
82	человека и природы	1	1
83	таким образом в	1	1
84	мы не можем	3	1
85	таким образом мы	2	1
86	даже и в	1	1
87	само по себе	5	1
88	всего того что	1	1
89	но в этой	1	1
90	не только не	3	1
91	существовать не может	1	1
92	и не может	1	1
93	вопрос о том	2	1
94	тогда когда мы	1	1
95	и тем более	1	1
96	только тогда когда	4	1
97	с другой стороны	1	1
98	только в том	2	1
99	одного и того	1	1
100	и ту же	1	1
101	слова то есть	3	1
102	с течением времени	2	1
103	человек не только	1	1
104	тем самым мы	1	1
105	том что такое	1	1
106	одну и ту	1	1
107	в том что	7	1
108	как и в	1	1
109	но если бы	1	1
