N	2gram	Losev_Dial_2	Psycholo
1	то что	14	44
2	и в	19	33
3	в этом	8	28
4	и что	5	25
5	как бы	14	25
6	все время	3	24
7	потому что	14	24
8	том что	10	22
9	может быть	20	22
10	что в	7	21
11	в том	14	21
12	о том	5	20
13	что он	6	20
14	сейчас же	3	16
15	и мы	3	15
16	только что	5	15
17	как это	7	14
18	что это	10	13
19	таким образом	4	13
20	так же	2	13
21	и не	30	13
22	все это	4	13
23	сказать что	10	13
24	самом деле	4	12
25	в самом	5	12
26	было бы	3	12
27	все то	1	12
28	к тому	2	12
29	и все	12	12
30	если мы	2	12
31	так как	14	12
32	он не	4	11
33	что все	1	11
34	на то	1	10
35	что она	14	10
36	в его	1	10
37	не может	9	10
38	то же	12	9
39	в этой	3	9
40	и если	4	9
41	по себе	18	9
42	как раз	5	9
43	в конце	2	8
44	как будто	7	8
45	вместе с	2	8
46	в каком	4	8
47	показать что	1	7
48	в своем	4	7
49	раз в	2	7
50	не только	19	7
51	в нем	10	7
52	так что	7	7
53	и только	4	7
54	когда он	1	7
55	и т	17	6
56	на самом	2	6
57	в сущности	2	6
58	в ней	2	6
59	что они	6	6
60	перед нами	2	6
61	все эти	2	6
62	в себе	15	6
63	после этого	3	6
64	и вот	4	6
65	во время	2	6
66	точки зрения	12	6
67	но он	4	6
68	что эта	1	6
69	тому что	2	6
70	когда мы	3	6
71	же самое	2	6
72	это не	10	6
73	мы видим	2	6
74	у него	1	6
75	а не	16	6
76	что мы	2	6
77	мы должны	2	6
78	как на	1	6
79	это и	3	5
80	мы уже	8	5
81	мы не	1	5
82	в целом	1	5
83	и на	1	5
84	с этим	3	5
85	все же	4	5
86	и как	10	5
87	как он	4	5
88	и может	6	5
89	ясно что	4	5
90	как и	10	5
91	нисколько не	4	5
92	самого начала	2	5
93	никогда не	9	5
94	и его	5	5
95	и это	5	5
96	с самого	2	5
97	и совершенно	2	5
98	мы будем	1	5
99	с ним	4	5
100	заключается в	4	5
101	в какой	2	5
102	вовсе не	13	5
103	мы можем	1	5
104	из этого	1	5
105	и есть	4	4
106	в которой	2	4
107	я не	6	4
108	не то	5	4
109	на нас	1	4
110	говорит о	1	4
111	он убивает	1	4
112	не будет	2	4
113	это было	3	4
114	с тем	2	4
115	и уже	3	4
116	слова и	1	4
117	смысл и	2	4
